OrganicMaterial,OrganicMatter
Former-GeographicalAgent,Organizations
Group-IntelligentAgent,Organizations
Group-PerceptualAgent-Embodied,Organizations
MultiIndividualAgent,Organizations
Organization,Organizations
Organization-Topic,Organizations
OrganizationType,Organizations
Person,Persons
Barrier-Underspecified,Places
Epicenter,Places
GeographicalThing,Places
HumanlyOccupiedSpatialObject,Places
Algae,Plants
FloricultureSilvicultureProduct,Plants
PlantBLO,Plants
PlantProduct,Plants
SeedBulbSeedlingCutting,Plants
AppliedTechnology,Products
ProductType,Products
ProkaryoticCell,Prokaryotes
ProkaryoticCellWall,Prokaryotes
FungusBLO,ProtistsFungus
Oomycota,ProtistsFungus
ProtistBLO,ProtistsFungus
Relation,RelationTypes
AxisymmetricObject,Shapes
GeometricallyDescribableThing,Shapes
ShapedObject,Shapes
SpatialThingTypeByDimensionality,Shapes
SpatialThingTypeByShape,Shapes
ProblemSolvingSituation,SituationTypes
Scenario,SituationTypes
Situation,SituationTypes
SomeSituationAlternating,SituationTypes
EducationalSystem,SocialSystems
FormalCOC,SocialSystems
HumanSexualBehavior,SocialSystems
Policy,SocialSystems
Assignment-Obligation,Society
AwardPractice,Society
BeliefSystem,Society
CivilUnrest,Society
CodeOfConduct,Society
GovernmentProgram,Society
Heritage,Society
Issue,Society
Politics,Society
SocialEnvironment,Society
Network,SpaceTypes
SpatialThing,SpaceTypes
AbstractInformationStructure,StructuredInfo
ClassificationSystem,StructuredInfo
Encrypted,StructuredInfo
GeneticInformation,StructuredInfo
GraphicalStructure,StructuredInfo
StructuredMediaProduct,StructuredInfo
FictionalThing,Symbolic
MathematicalOrComputationalThing,Symbolic
Thinking,Symbolic
InformationSystem,Systems
System,Systems
ServicesEconomics,TertiarySectorService
SubscriberService,TertiarySectorService
CalendarSystem,Times
TimeInterval,Times
TimeOfWeekType,Times
WeeklyTemporalObjectType,Times
Time-Topic,TimeTypes
Actions-Topic,TopicsCategories
Agents-Topic,TopicsCategories
ApplicationSpecific-Topic,TopicsCategories
Contraband,TopicsCategories
HumanActivities-Topic,TopicsCategories
HumanBeings-Topic,TopicsCategories
Metaphysics,TopicsCategories
Movement-Topic,TopicsCategories
NaturalWorld-Topic,TopicsCategories
PhysicalStuffAndObjects-Topic,TopicsCategories
AbstractVisualStructure,VisualInfo
Animation-MovingImage,VisualInfo
Backlit,VisualInfo
SheetOfPaper,VisualInfo
VideoRecordedObject,VisualInfo
VisualImage,VisualInfo
VisualInformationBearingThing,VisualInfo
VisualWork,VisualInfo
LinguisticObject,WrittenInfo
SystemOfWrittenMaterials,WrittenInfo
TextualExpression,WrittenInfo
TextualMaterial,WrittenInfo
WrittenMediaProduct,WrittenInfo
