check,severity,entity,iri,field,message
definitions,WARNING,Adenomus,http://kbpedia.org/kko/rc/Adenomus,definition,short definition (4 words; floor 6)
definitions,WARNING,Adenophorea,http://kbpedia.org/kko/rc/Adenophorea,definition,short definition (4 words; floor 6)
definitions,WARNING,Adephaga,http://kbpedia.org/kko/rc/Adephaga,definition,short definition (4 words; floor 6)
definitions,WARNING,AdipicAcid,http://kbpedia.org/kko/rc/AdipicAcid,definition,short definition (4 words; floor 6)
definitions,WARNING,AdministrativeBuilding,http://kbpedia.org/kko/rc/AdministrativeBuilding,definition,short definition (3 words; floor 6)
definitions,WARNING,AdministrativeCommunity_Saxony_Anhalt,http://kbpedia.org/kko/rc/AdministrativeCommunity_Saxony_Anhalt,definition,short definition (5 words; floor 6)
definitions,WARNING,AdministrativeCommunity_Thuringia,http://kbpedia.org/kko/rc/AdministrativeCommunity_Thuringia,definition,short definition (5 words; floor 6)
definitions,WARNING,AdministrativeDivision_Germany,http://kbpedia.org/kko/rc/AdministrativeDivision_Germany,definition,short definition (5 words; floor 6)
definitions,WARNING,AdministrativeSoftware,http://kbpedia.org/kko/rc/AdministrativeSoftware,definition,short definition (5 words; floor 6)
definitions,WARNING,AdmiralHipper_classCruiser,http://kbpedia.org/kko/rc/AdmiralHipper_classCruiser,definition,short definition (5 words; floor 6)
definitions,WARNING,Admiral_classBattlecruiser,http://kbpedia.org/kko/rc/Admiral_classBattlecruiser,definition,short definition (5 words; floor 6)
definitions,WARNING,AdobeComputerProgram,http://kbpedia.org/kko/rc/AdobeComputerProgram,definition,short definition (5 words; floor 6)
definitions,WARNING,AdoptionFormsAndRelatedPractices,http://kbpedia.org/kko/rc/AdoptionFormsAndRelatedPractices,definition,short definition (5 words; floor 6)
definitions,WARNING,Adrar_ProvinceAlgeria,http://kbpedia.org/kko/rc/Adrar_ProvinceAlgeria,definition,short definition (5 words; floor 6)
definitions,WARNING,AdventureRacing_Sport,http://kbpedia.org/kko/rc/AdventureRacing_Sport,definition,short definition (4 words; floor 6)
definitions,WARNING,AdvertisingByType,http://kbpedia.org/kko/rc/AdvertisingByType,definition,short definition (3 words; floor 6)
definitions,WARNING,Aerodynamics,http://kbpedia.org/kko/rc/Aerodynamics,definition,short definition (3 words; floor 6)
definitions,WARNING,AerosolCan,http://kbpedia.org/kko/rc/AerosolCan,definition,short definition (4 words; floor 6)
definitions,WARNING,AerospaceIndustryInAustralia,http://kbpedia.org/kko/rc/AerospaceIndustryInAustralia,definition,short definition (4 words; floor 6)
definitions,WARNING,Aeshnidae,http://kbpedia.org/kko/rc/Aeshnidae,definition,short definition (4 words; floor 6)
definitions,WARNING,AfghanTajikPeople,http://kbpedia.org/kko/rc/AfghanTajikPeople,definition,short definition (3 words; floor 6)
definitions,WARNING,AfricanAmericanStudies,http://kbpedia.org/kko/rc/AfricanAmericanStudies,definition,short definition (5 words; floor 6)
definitions,WARNING,AfricanAndBlackNationalism,http://kbpedia.org/kko/rc/AfricanAndBlackNationalism,definition,short definition (4 words; floor 6)
definitions,WARNING,AfricanPeople,http://kbpedia.org/kko/rc/AfricanPeople,definition,short definition (2 words; floor 6)
definitions,WARNING,AfricanShamanism,http://kbpedia.org/kko/rc/AfricanShamanism,definition,short definition (2 words; floor 6)
definitions,WARNING,AfricanWitchcraft,http://kbpedia.org/kko/rc/AfricanWitchcraft,definition,short definition (2 words; floor 6)
definitions,WARNING,AfrikaansLanguageSurname,http://kbpedia.org/kko/rc/AfrikaansLanguageSurname,definition,short definition (2 words; floor 6)
definitions,WARNING,AfrikaansSpeakingCountryOrTerritory,http://kbpedia.org/kko/rc/AfrikaansSpeakingCountryOrTerritory,definition,short definition (4 words; floor 6)
definitions,WARNING,AfrikaansWordOrPhrase,http://kbpedia.org/kko/rc/AfrikaansWordOrPhrase,definition,short definition (4 words; floor 6)
definitions,WARNING,AfterShaveLotion,http://kbpedia.org/kko/rc/AfterShaveLotion,definition,short definition (3 words; floor 6)
definitions,WARNING,AgamidLizardsOfAfrica,http://kbpedia.org/kko/rc/AgamidLizardsOfAfrica,definition,short definition (4 words; floor 6)
definitions,WARNING,Agamidae,http://kbpedia.org/kko/rc/Agamidae,definition,short definition (4 words; floor 6)
definitions,WARNING,Agaricomycetes,http://kbpedia.org/kko/rc/Agaricomycetes,definition,short definition (4 words; floor 6)
definitions,WARNING,AgeingAndLGBTTopics,http://kbpedia.org/kko/rc/AgeingAndLGBTTopics,definition,short definition (4 words; floor 6)
definitions,WARNING,AgenceFrancePresseJournalist,http://kbpedia.org/kko/rc/AgenceFrancePresseJournalist,definition,short definition (3 words; floor 6)
definitions,WARNING,AgenceFrancePressePhotojournalist,http://kbpedia.org/kko/rc/AgenceFrancePressePhotojournalist,definition,short definition (3 words; floor 6)
definitions,WARNING,AggregateOffer,http://kbpedia.org/kko/rc/AggregateOffer,definition,short definition (5 words; floor 6)
definitions,WARNING,AggregateRating,http://kbpedia.org/kko/rc/AggregateRating,definition,short definition (2 words; floor 6)
definitions,WARNING,Agonoxenidae,http://kbpedia.org/kko/rc/Agonoxenidae,definition,short definition (4 words; floor 6)
definitions,WARNING,AgriculturalEconomics,http://kbpedia.org/kko/rc/AgriculturalEconomics,definition,short definition (4 words; floor 6)
definitions,WARNING,AgriculturalEngineering,http://kbpedia.org/kko/rc/AgriculturalEngineering,definition,short definition (4 words; floor 6)
definitions,WARNING,AgriculturalHealthAndSafety,http://kbpedia.org/kko/rc/AgriculturalHealthAndSafety,definition,short definition (4 words; floor 6)
definitions,WARNING,AgriculturalInsurance,http://kbpedia.org/kko/rc/AgriculturalInsurance,definition,short definition (2 words; floor 6)
definitions,WARNING,AgricultureByContinent,http://kbpedia.org/kko/rc/AgricultureByContinent,definition,short definition (3 words; floor 6)
definitions,WARNING,AgricultureByCountry,http://kbpedia.org/kko/rc/AgricultureByCountry,definition,short definition (3 words; floor 6)
definitions,WARNING,AgricultureInBritishColumbia,http://kbpedia.org/kko/rc/AgricultureInBritishColumbia,definition,short definition (4 words; floor 6)
definitions,WARNING,AgricultureInNorthernAfrica,http://kbpedia.org/kko/rc/AgricultureInNorthernAfrica,definition,short definition (4 words; floor 6)
definitions,WARNING,Agromyzidae,http://kbpedia.org/kko/rc/Agromyzidae,definition,short definition (4 words; floor 6)
definitions,WARNING,AgustaWestlandAW101,http://kbpedia.org/kko/rc/AgustaWestlandAW101,definition,short definition (5 words; floor 6)
definitions,WARNING,Ahal_ProvinceTurkmenistan,http://kbpedia.org/kko/rc/Ahal_ProvinceTurkmenistan,definition,short definition (3 words; floor 6)
definitions,WARNING,Ailuridae,http://kbpedia.org/kko/rc/Ailuridae,definition,short definition (3 words; floor 6)
definitions,WARNING,AirPollutionControlSystem,http://kbpedia.org/kko/rc/AirPollutionControlSystem,definition,short definition (4 words; floor 6)
definitions,WARNING,AirTrafficControlCenter,http://kbpedia.org/kko/rc/AirTrafficControlCenter,definition,short definition (4 words; floor 6)
definitions,WARNING,AirTrafficControlInAfrica,http://kbpedia.org/kko/rc/AirTrafficControlInAfrica,definition,short definition (5 words; floor 6)
definitions,WARNING,AirTrafficControlInAsia,http://kbpedia.org/kko/rc/AirTrafficControlInAsia,definition,short definition (5 words; floor 6)
definitions,WARNING,AirTrafficControlInEurope,http://kbpedia.org/kko/rc/AirTrafficControlInEurope,definition,short definition (5 words; floor 6)
definitions,WARNING,AirTrafficControlInOceania,http://kbpedia.org/kko/rc/AirTrafficControlInOceania,definition,short definition (5 words; floor 6)
definitions,WARNING,AirTrafficControlSimulator,http://kbpedia.org/kko/rc/AirTrafficControlSimulator,definition,short definition (4 words; floor 6)
definitions,WARNING,AircraftByType,http://kbpedia.org/kko/rc/AircraftByType,definition,short definition (3 words; floor 6)
definitions,WARNING,AircraftCollision,http://kbpedia.org/kko/rc/AircraftCollision,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftComponent,http://kbpedia.org/kko/rc/AircraftComponent,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftConfiguration,http://kbpedia.org/kko/rc/AircraftConfiguration,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftMarking,http://kbpedia.org/kko/rc/AircraftMarking,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftOperations,http://kbpedia.org/kko/rc/AircraftOperations,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftRadar,http://kbpedia.org/kko/rc/AircraftRadar,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftRecycling,http://kbpedia.org/kko/rc/AircraftRecycling,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftSquadron,http://kbpedia.org/kko/rc/AircraftSquadron,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftWeapon,http://kbpedia.org/kko/rc/AircraftWeapon,definition,short definition (2 words; floor 6)
definitions,WARNING,AircraftWeightMeasurement,http://kbpedia.org/kko/rc/AircraftWeightMeasurement,definition,short definition (3 words; floor 6)
definitions,WARNING,AircrewClothing,http://kbpedia.org/kko/rc/AircrewClothing,definition,short definition (2 words; floor 6)
definitions,WARNING,AirlinesOfTheChannelIslands,http://kbpedia.org/kko/rc/AirlinesOfTheChannelIslands,definition,short definition (5 words; floor 6)
definitions,WARNING,AirportsInCentralJava,http://kbpedia.org/kko/rc/AirportsInCentralJava,definition,short definition (4 words; floor 6)
definitions,WARNING,AirportsInMayotte,http://kbpedia.org/kko/rc/AirportsInMayotte,definition,short definition (3 words; floor 6)
definitions,WARNING,AirportsInNagornoKarabakh,http://kbpedia.org/kko/rc/AirportsInNagornoKarabakh,definition,short definition (3 words; floor 6)
definitions,WARNING,AirportsInSomaliland,http://kbpedia.org/kko/rc/AirportsInSomaliland,definition,short definition (3 words; floor 6)
definitions,WARNING,AirportsInYamaloNenetsAutonomousOkrug,http://kbpedia.org/kko/rc/AirportsInYamaloNenetsAutonomousOkrug,definition,short definition (5 words; floor 6)
definitions,WARNING,AirportsOnBorneo,http://kbpedia.org/kko/rc/AirportsOnBorneo,definition,short definition (3 words; floor 6)
definitions,WARNING,AlAnbar_ProvinceIraq,http://kbpedia.org/kko/rc/AlAnbar_ProvinceIraq,definition,short definition (4 words; floor 6)
definitions,WARNING,AlQadisiyahProvinceIraq,http://kbpedia.org/kko/rc/AlQadisiyahProvinceIraq,definition,short definition (4 words; floor 6)
definitions,WARNING,Al_RayyanOilField,http://kbpedia.org/kko/rc/Al_RayyanOilField,definition,short definition (5 words; floor 6)
definitions,WARNING,AlabamaCulture,http://kbpedia.org/kko/rc/AlabamaCulture,definition,short definition (2 words; floor 6)
definitions,WARNING,Alabama_State,http://kbpedia.org/kko/rc/Alabama_State,definition,short definition (3 words; floor 6)
definitions,WARNING,AlarmSound,http://kbpedia.org/kko/rc/AlarmSound,definition,short definition (3 words; floor 6)
definitions,WARNING,AlaskaCulture,http://kbpedia.org/kko/rc/AlaskaCulture,definition,short definition (2 words; floor 6)
definitions,WARNING,Alaska_classCruiser,http://kbpedia.org/kko/rc/Alaska_classCruiser,definition,short definition (5 words; floor 6)
definitions,WARNING,AlawiteIslam,http://kbpedia.org/kko/rc/AlawiteIslam,definition,short definition (4 words; floor 6)
definitions,WARNING,AlbanianLanguage,http://kbpedia.org/kko/rc/AlbanianLanguage,definition,short definition (2 words; floor 6)
definitions,WARNING,AlbanianOrthodoxReligion,http://kbpedia.org/kko/rc/AlbanianOrthodoxReligion,definition,short definition (4 words; floor 6)
definitions,WARNING,AlbanianSeparatism,http://kbpedia.org/kko/rc/AlbanianSeparatism,definition,short definition (2 words; floor 6)
definitions,WARNING,AlbanianSpeakingCountryOrTerritory,http://kbpedia.org/kko/rc/AlbanianSpeakingCountryOrTerritory,definition,short definition (4 words; floor 6)
definitions,WARNING,AlbanianWordOrPhrase,http://kbpedia.org/kko/rc/AlbanianWordOrPhrase,definition,short definition (4 words; floor 6)
definitions,WARNING,Alberta_CanadianProvince,http://kbpedia.org/kko/rc/Alberta_CanadianProvince,definition,short definition (3 words; floor 6)
definitions,WARNING,AlcatrazFederalPenitentiaryInmate,http://kbpedia.org/kko/rc/AlcatrazFederalPenitentiaryInmate,definition,short definition (5 words; floor 6)
definitions,WARNING,AlcoholInAsia,http://kbpedia.org/kko/rc/AlcoholInAsia,definition,short definition (3 words; floor 6)
definitions,WARNING,AlcoholInChina,http://kbpedia.org/kko/rc/AlcoholInChina,definition,short definition (3 words; floor 6)
