s,p,o
rc:4_tert_Butylcatechol,owl:equivalentClass,http://wikipedia.org/wiki/4-tert-Butylcatechol
rc:5013COrganization,owl:equivalentClass,http://wikipedia.org/wiki/501(c)(3)_organization
rc:50EuroNote,owl:equivalentClass,http://wikipedia.org/wiki/50_euro_note
rc:5EuroNote,owl:equivalentClass,http://wikipedia.org/wiki/5_euro_note
rc:6_Hydroxydopamine,owl:equivalentClass,http://wikipedia.org/wiki/Oxidopamine
rc:AAAI,owl:equivalentClass,http://wikipedia.org/wiki/Association_for_the_Advancement_of_Artificial_Intelligence
rc:AASM,owl:equivalentClass,http://wikipedia.org/wiki/AASM
rc:ABSResin,owl:equivalentClass,http://wikipedia.org/wiki/Acrylonitrile_butadiene_styrene
rc:AB_205_Helicopter,owl:equivalentClass,http://wikipedia.org/wiki/Bell_204/205
rc:ACAcecaCar,owl:equivalentClass,http://wikipedia.org/wiki/AC_Aceca
rc:ACEInhibitor,owl:equivalentClass,http://wikipedia.org/wiki/ACE_inhibitor
rc:ACFRiverBasin,owl:equivalentClass,http://wikipedia.org/wiki/ACF_River_Basin
rc:ACappella,owl:equivalentClass,http://wikipedia.org/wiki/A_cappella
rc:AEASilverDart,owl:equivalentClass,http://wikipedia.org/wiki/AEA_Silver_Dart
rc:AFC_West_Football,owl:equivalentClass,http://wikipedia.org/wiki/AFC_West
rc:AGS_17,owl:equivalentClass,http://wikipedia.org/wiki/AGS-17
rc:AIDS,owl:equivalentClass,http://wikipedia.org/wiki/AIDS
rc:AIDSDementiaComplex,owl:equivalentClass,http://wikipedia.org/wiki/HIV-associated_neurocognitive_disorder
rc:AIMk_IvRadar,owl:equivalentClass,http://wikipedia.org/wiki/AI_Mk._IV_radar
rc:AI_Planning,owl:equivalentClass,http://wikipedia.org/wiki/Automated_planning_and_scheduling
rc:AK_74,owl:equivalentClass,http://wikipedia.org/wiki/AK-74
rc:AMAMotocrossChampionship,owl:equivalentClass,http://wikipedia.org/wiki/AMA_Motocross_Championship
rc:AMCConcordCar,owl:equivalentClass,http://wikipedia.org/wiki/AMC_Concord
rc:AMCGremlin,owl:equivalentClass,http://wikipedia.org/wiki/AMC_Gremlin
rc:AMX_30,owl:equivalentClass,http://wikipedia.org/wiki/AMX-30
rc:ANFO,owl:equivalentClass,http://wikipedia.org/wiki/ANFO
rc:ANTPQ_37Firefinder,owl:equivalentClass,http://wikipedia.org/wiki/AN/TPQ-37_Firefinder_radar
rc:ANZUS,owl:equivalentClass,http://wikipedia.org/wiki/ANZUS
rc:APriori,owl:equivalentClass,http://wikipedia.org/wiki/A_priori_and_a_posteriori
rc:ARMArchitecture,owl:equivalentClass,http://wikipedia.org/wiki/ARM_architecture
rc:AR_15,owl:equivalentClass,http://wikipedia.org/wiki/AR-15_style_rifle
rc:ASCII,owl:equivalentClass,http://wikipedia.org/wiki/American_Standard_Code_for_Information_Interchange
rc:ASCII_Art,owl:equivalentClass,http://wikipedia.org/wiki/ASCII_art
rc:ASEAN,owl:equivalentClass,http://wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
rc:ASN1SyntaxSpecification,owl:equivalentClass,http://wikipedia.org/wiki/ASN.1
rc:ATR42,owl:equivalentClass,http://wikipedia.org/wiki/ATR_42
rc:ATR72,owl:equivalentClass,http://wikipedia.org/wiki/ATR_72
rc:ATSC,owl:equivalentClass,http://wikipedia.org/wiki/ATSC_standards
rc:AZT,owl:equivalentClass,http://wikipedia.org/wiki/Zidovudine
rc:A_10Thunderbolt,owl:equivalentClass,http://wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II
rc:AaptosKanuux,owl:equivalentClass,http://wikipedia.org/wiki/Aaptos_kanuux
rc:Aardvark,owl:equivalentClass,http://wikipedia.org/wiki/Aardvark
rc:Aardwolf,owl:equivalentClass,http://wikipedia.org/wiki/Aardwolf
rc:Aargau,owl:equivalentClass,http://wikipedia.org/wiki/Canton_of_Aargau
rc:Aaron,owl:equivalentClass,http://wikipedia.org/wiki/Aaron
rc:AaronCopland_Composer,owl:equivalentClass,http://wikipedia.org/wiki/Aaron_Copland
rc:AbaCloth,owl:equivalentClass,http://wikipedia.org/wiki/Hodden
rc:Aba_Garment,owl:equivalentClass,http://wikipedia.org/wiki/Abaya
rc:Abacavir,owl:equivalentClass,http://wikipedia.org/wiki/Abacavir
rc:AbadanRefinery,owl:equivalentClass,http://wikipedia.org/wiki/Abadan_Refinery
rc:AbandonedVillage,owl:equivalentClass,http://wikipedia.org/wiki/Abandoned_village
rc:AbandonwareProgram,owl:equivalentClass,http://wikipedia.org/wiki/Abandonware
rc:AbaremaOxyphyllidia,owl:equivalentClass,http://wikipedia.org/wiki/Abarema_oxyphyllidia
rc:Abatis,owl:equivalentClass,http://wikipedia.org/wiki/Abatis
rc:AbbasidCaliphate,owl:equivalentClass,http://wikipedia.org/wiki/Abbasid_Caliphate
rc:Abbey,owl:equivalentClass,http://wikipedia.org/wiki/Abbey
rc:Abbreviation,owl:equivalentClass,http://wikipedia.org/wiki/Abbreviation
rc:Abdication,owl:equivalentClass,http://wikipedia.org/wiki/Abdication
rc:Abdomen,owl:equivalentClass,http://wikipedia.org/wiki/Abdomen
rc:AbdominalAorta,owl:equivalentClass,http://wikipedia.org/wiki/Abdominal_aorta
