typology_a,typology_b,shared_members,size_a,size_b,shared_rcs
Diseases,SecondarySectorProducts,4,916,16016,DisabilityRobot;ParaTableTennis;WheelchairBasketball;WheelchairBasketballCompetition
Drugs,ProtistsFungus,4,1706,281,AmanitaRegalis;FlyAgaricMushroom;HallucinogenicMushroom;PsilocybinMushroom
EmergentKnowledge,WrittenInfo,4,202,1919,KnowledgeRepresentationLanguage;OWL_WebOntologyLanguage;RDFDataAccess;RDF_ResourceDescriptionFramework
Eukaryotes,Shapes,4,9662,260,AnimalBodyShapeType;Cuboid;QuadrupedBodyShaped;Radiata
Facilities,Information,4,1919,6048,Gargoyle_Sculpture;Gargoyle_Spout;StainedGlassWindow;Throne
FoodDrink,RelationTypes,4,1932,9723,FermentedFood;Naem;Rice;RiceVariety
LearningProcesses,LivingThings,4,329,11916,Dyslexia;DyslexiaResearch;LearningDisability;TheoryOfDyslexia
LearningProcesses,StructuredInfo,4,329,1695,LearningManagementSystem;PitchModificationSoftware;SavingAFile;VirtualLearningEnvironment
LearningProcesses,TopicsCategories,4,329,822,CausalFallacy;DynamicsProcessing;InterpretationsOfQuantumMechanics;TheoryOfGravitation
LivingThings,Shapes,4,11916,260,AnimalBodyShapeType;Cuboid;QuadrupedBodyShaped;Radiata
ActionTypes,AdjunctualAttributes,5,6885,43,AggressiveMimicry;Automimicry;BatesianMimicry;Mimicry;MullerianMimicry
AdjunctualAttributes,CopulativeRelations,5,43,7836,AggressiveMimicry;Automimicry;BatesianMimicry;Mimicry;MullerianMimicry
AdjunctualAttributes,MediativeRelations,5,43,2378,AggressiveMimicry;Automimicry;BatesianMimicry;Mimicry;MullerianMimicry
AdjunctualAttributes,RelationTypes,5,43,9723,AggressiveMimicry;Automimicry;BatesianMimicry;Mimicry;MullerianMimicry
Agents,Concepts,5,8391,313,DummyCompany;Imposter;Macho;MasculinePerson;PositionsOfAuthority
AtomsElements,Shapes,5,414,260,BloodDiamond;DiamondSimulant;Diamond_Gem;IndividualDiamond;SyntheticDiamond
AttributeTypes,NaturalSubstances,5,1804,1209,IsotopeOfUranium;ReprocessedUranium;Uranium;Uranium_Enriched;WeaponsGradeUranium
BiologicalChemistry,Shapes,5,1622,260,BotulinumToxin_Aerosolized;PlasticRubberFoam;Polystyrene;RubberFoam;SiliconeFoam
Chemistry,FoodDrink,5,1545,1932,Aspartame;Chitosan;MonosodiumGlutamate;SodiumBicarbonate;Vinegar
Concepts,Forms,5,313,1906,AlternativeEnergy;CommonSense;FrillyClothingStyle;KnowHow_AgentCapacityQuantity;Scoutcraft
Concepts,LocationPlace,5,313,1058,AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth;NorthCelestialPole;SouthCelestialPole
ConceptualSystems,LocationPlace,5,1408,1058,AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth;NorthCelestialPole;SouthCelestialPole
ConceptualSystems,Shapes,5,1408,260,BloodDiamond;DiamondSimulant;Diamond_Gem;IndividualDiamond;SyntheticDiamond
EventTypes,Shapes,5,3210,260,DustStormAsObject;PlasticRubberFoam;Polystyrene;RubberFoam;SiliconeFoam
FoodDrink,NaturalMatter,5,1932,2979,Aspartame;Chitosan;MonosodiumGlutamate;SodiumBicarbonate;Vinegar
FoodDrink,Shapes,5,1932,260,ChewingGum;Gum;Mayonnaise;SaladDressing;WhippedCream
InquiryMethods,NaturalPhenomena,5,724,638,CookingWeightsAndMeasure;InfraredImaging;Radiometry;Superstring;TheoryOfGravitation
IntrinsicAttributes,NaturalSubstances,5,256,1209,IsotopeOfUranium;ReprocessedUranium;Uranium;Uranium_Enriched;WeaponsGradeUranium
LivingThings,MediativeRelations,5,11916,2378,Abnormal_Organism_Whole;Ejaculation;GeneticVariation;Hungry;Mutant
LivingThings,SituationTypes,5,11916,2311,Abnormal_Organism_Whole;Ejaculation;GeneticVariation;Hungry;Mutant
PrimarySectorProducts,Shapes,5,1726,260,BloodDiamond;DiamondSimulant;Diamond_Gem;IndividualDiamond;SyntheticDiamond
Shapes,TimeTypes,5,260,3679,DustStormAsObject;PlasticRubberFoam;Polystyrene;RubberFoam;SiliconeFoam
Shapes,TopicsCategories,5,260,822,BloodDiamond;DiamondSimulant;Diamond_Gem;IndividualDiamond;SyntheticDiamond
Society,StructuredInfo,5,2619,1695,BillOfRights_US;Brand;CustomerCommunicationsManagement;LegalCode_ModernWestern;UnitedStatesCode
AVInfo,AttributeTypes,6,1425,1804,Backlit;Comedy;Parody;RoastComedy;Silhouetted;SituationalComedy
