rc,band_pairs,total_typologies,spanned_typologies
AustralopithecusFossil,1,7,Information;OrganicMatter
FlatRegion,1,7,AreaRegion;Shapes
Fossil,1,7,Information;OrganicMatter
FossilAlgae,1,7,Information;OrganicMatter
HomininFossil,1,7,Information;OrganicMatter
MaotianshanShalesFossil,1,7,Information;OrganicMatter
Phenomena,1,7,Concepts;NaturalPhenomena
PhysicalPhenomena,1,7,Concepts;NaturalPhenomena
Throne,1,7,Facilities;Information
TransitionalFossil,1,7,Information;OrganicMatter
WebRing,1,7,SpaceTypes;StructuredInfo
WhiteSeaFossil,1,7,Information;OrganicMatter
WinterPhenomena,1,7,Concepts;NaturalPhenomena
Component,1,6,IntrinsicAttributes;Systems
Electron,1,6,AtomsElements;NaturalPhenomena
ElectronBeam,1,6,AtomsElements;NaturalPhenomena
ElectronState,1,6,AtomsElements;NaturalPhenomena
Photon,1,6,AtomsElements;NaturalPhenomena
XPath,1,6,SpaceTypes;StructuredInfo
AgonicLine,1,5,AreaRegion;Shapes
ContourLine,1,5,AreaRegion;Shapes
GeographicalLine_Intangible,1,5,AreaRegion;Shapes
GeographicalPlace_1D,1,5,AreaRegion;Shapes
IsogonicLine,1,5,AreaRegion;Shapes
