id,object,relatesTo
rc:Board_PieceOfWood,rc:LinearObject_Tangible,kko:relatesToShapes
rc:BodyOfWater_Area,rc:Water,kko:relatesToNaturalMatter
rc:BodyOfWater_Area,rc:WaterResources,kko:relatesToConcepts
rc:BodyOfWater_Intermittent,rc:Water,kko:relatesToNaturalMatter
rc:Bottle,rc:Bottle_Generic,kko:relatesToShapes
rc:BranchOfMilitaryService,rc:MilitaryOrganizationConcept,kko:relatesToConcepts
rc:Broadcasting,rc:SubscriberService,kko:relatesToTertiarySectorServices
rc:BushFlying,rc:DangerousActivity,kko:relatesToConcepts
rc:BusinessRelatedThing,rc:TemporalThing,kko:relatesToConcepts
rc:Buttermilk,rc:Lumpy,kko:relatesToForms
rc:Can,rc:CapsuleContainer,kko:relatesToShapes
rc:Carnivore,rc:OrganismTypeByNutrition,kko:relatesToLivingThings
rc:Carnivory,rc:Meat,kko:relatesToFoodDrink
rc:CartographicFeatureType,rc:TemporalStuffType,kko:relatesToConcepts
rc:CellPart,rc:BiologicalParts,kko:relatesToDirectRelations
rc:CellPart,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:CellPart,rc:Parts,kko:relatesToDirectRelations
rc:CeremonialSite,rc:POIAttributes,kko:relatesToSituationTypes
rc:ChemicalObject,rc:MicroscopicScaleObject,kko:relatesToShapes
rc:ChemicalObject,rc:MolecularStuff,kko:relatesToManifestations
rc:CitrusFruit,rc:RoundObject,kko:relatesToShapes
rc:ClassificationSystem,rc:System,kko:relatesToSystems
rc:ClothingSizeType,rc:SizeAttribute,kko:relatesToIntrinsicAttributes
rc:Coin_US,rc:RoundObject,kko:relatesToShapes
rc:CollapsibleDevice,rc:Collapsible,kko:relatesToForms
rc:Color,rc:ColorAttribute,kko:relatesToIntrinsicAttributes
rc:CommercialOrganization,rc:BusinessRelatedThing,kko:relatesToEconomicSystems
rc:CommodityProduct,rc:TemporalStuffType,kko:relatesToConcepts
rc:Communication,kko:Society,kko:relatesToSociety
rc:ComputingInformation,rc:ComputerAsSystem,kko:relatesToSymbolic
rc:CondensedMatter,rc:Physics,kko:relatesToKnowledgeDomains
rc:Cone,rc:RoundObject,kko:relatesToShapes
rc:ConfederateStatesOfAmerica_EconomicHistory,rc:ConfederateStatesOfAmerica,kko:relatesToGeopolitical
rc:Configuration,rc:ConfigurationAttribute,kko:relatesToIntrinsicAttributes
rc:ConfluenceOfSinuses,rc:JunctionOfPaths,kko:relatesToConcepts
rc:ConfluenceOfStreams,rc:JunctionOfPaths,kko:relatesToConcepts
rc:ContainerIndependentShapedThing,rc:FiniteSpatialThing,kko:relatesToShapes
rc:ContinuousTimeInterval,rc:TemporallyContinuousThing,kko:relatesToConcepts
rc:Convoy,rc:LineOfObjects,kko:relatesToConcepts
rc:CordlikeObject,rc:LinearObject_Tangible,kko:relatesToShapes
rc:CottageCheese,rc:Lumpy,kko:relatesToForms
rc:CottonFiber,rc:Fibrous,kko:relatesToForms
rc:CountrySubsidiary,rc:CountrySubsidiary,kko:relatesToGeopolitical
rc:CreationEvent,rc:CreationAttribute,kko:relatesToAdjunctualAttributes
rc:Crevasse,rc:DangerousThing,kko:relatesToConcepts
rc:CriminalAct,rc:DangerousActivity,kko:relatesToConcepts
rc:Cross_ConstructionArtifact,rc:CruciformObject,kko:relatesToShapes
rc:Cross_TortureDevice,rc:CruciformObject,kko:relatesToShapes
rc:Crucifix_ChristianSymbol,rc:CruciformObject,kko:relatesToShapes
rc:Cube,rc:RectangularParallelepiped,kko:relatesToShapes
rc:Cuisine,rc:CulturalThing,kko:relatesToSociety
rc:CulturalThing,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:CustomarySystemOfLinks_Comm,rc:CustomarySystemOfLinks,kko:relatesToShapes
rc:CutFlower,rc:IndependentThing,kko:relatesToConcepts
rc:CuttingDevice,rc:DangerousThing,kko:relatesToConcepts
rc:Cylinder,rc:RoundObject,kko:relatesToShapes
rc:CytoplasmLayer,rc:Layer,kko:relatesToForms
rc:DiploidCell,rc:Protozoan,kko:relatesToLivingThings
rc:DomesticLife,rc:LifeSkills,kko:relatesToConcepts
rc:Dragon,rc:Reptile,kko:relatesToAnimals
rc:DragonTeeth,rc:LineOfObjects,kko:relatesToConcepts
rc:DriverDistraction,rc:DangerousEvent,kko:relatesToConcepts
rc:Dying,rc:BiologicalAttribute,kko:relatesToAdjunctualAttributes
rc:EarthOrbit,rc:OrbitalPathClass,kko:relatesToShapes
rc:EcologicalRegion,rc:Biogeography,kko:relatesToKnowledgeDomains
rc:EcologicalRegion,rc:Environment_Generic,kko:relatesToShapes
rc:EconomicalQuantity,rc:EconomicAttribute,kko:relatesToContextualAttributes
rc:ElectricPower,rc:PublicUtilityService,kko:relatesToTertiarySectorServices
rc:Electricity,rc:EnergyStuff,kko:relatesToConcepts
rc:ElementaryParticle,rc:TemporalThing,kko:relatesToConcepts
rc:Ellipse,rc:RoundObject,kko:relatesToShapes
rc:Ellipsoid,rc:RoundObject,kko:relatesToShapes
rc:EllipticalRegion,rc:RoundObject,kko:relatesToShapes
rc:Emergency,rc:DangerousSituation,kko:relatesToConcepts
rc:Emergency,rc:EndangeringSomething,kko:relatesToActionTypes
rc:EmmyAward,rc:AwardAttribute,kko:relatesToAdjunctualAttributes
rc:EnergyPhenomena,rc:EnergyStuff,kko:relatesToConcepts
rc:EnergyProduction,rc:EnergyStuff,kko:relatesToConcepts
rc:EnergySource,rc:EnergyStuff,kko:relatesToConcepts
rc:EnergySource,rc:Resource,kko:relatesToConcepts
rc:Explosive,rc:DangerousThing,kko:relatesToConcepts
rc:ExplosiveDevice,rc:DangerousThing,kko:relatesToConcepts
rc:ExtremeThermalSituation,rc:DangerousSituation,kko:relatesToConcepts
rc:Eye,rc:ElectroMagneticRadiationSensor,kko:relatesToTopicsCategories
rc:Facility_Construct,rc:POIAttributes,kko:relatesToSituationTypes
rc:FemaleHuman,rc:PersonalQuantity,kko:relatesToForms
rc:Fiberglass,rc:Fibrous,kko:relatesToForms
rc:FictionalCharacter,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:Fight_Physical,rc:DangerousActivity,kko:relatesToConcepts
