id,prefLabel,predicate,word_count,flags,procedure,definition
http://kbpedia.org/kko/rc/item_reviewed,itemReviewed,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The item that is being reviewed/rated.
http://kbpedia.org/kko/rc/item_shipped,itemShipped,http://www.w3.org/2004/02/skos/core#definition,3,short,full,Item(s) being shipped.
http://kbpedia.org/kko/rc/kijkwijzer_rating,Kijkwijzer rating ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Dutch media content rating system.
http://kbpedia.org/kko/rc/killed_by,killed by ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Person who killed the subject.
http://kbpedia.org/kko/rc/language_regulatory_body,language regulatory body ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Regulatory body of a language.
http://kbpedia.org/kko/rc/league_level_above,league level above ,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The league above this sports league.
http://kbpedia.org/kko/rc/league_level_below,league level below ,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The league below this sports league.
http://kbpedia.org/kko/rc/legal_form,legal form ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Legal form of an organization.
http://kbpedia.org/kko/rc/live_blog_update,liveBlogUpdate,http://www.w3.org/2004/02/skos/core#definition,5,short,full,An update to the LiveBlog.
http://kbpedia.org/kko/rc/located_in_or_next_to_body_of_water,located in or next to body of water ,http://www.w3.org/2004/02/skos/core#definition,4,short,full,"Sea, lake or river."
http://kbpedia.org/kko/rc/located_in_time_zone,located in time zone ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Time zone for this item.
http://kbpedia.org/kko/rc/location_of_landing,location of landing ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Location where the craft landed.
http://kbpedia.org/kko/rc/magnetic_ordering,magnetic ordering ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Magnetic ordering of a substance.
http://kbpedia.org/kko/rc/members,members,http://www.w3.org/2004/02/skos/core#definition,5,short,full,A member of this organization.
http://kbpedia.org/kko/rc/members_have_occupation,members have occupation ,http://www.w3.org/2004/02/skos/core#definition,8,circular,full,All members of this group share the occupation.
http://kbpedia.org/kko/rc/molecular_function,molecular function ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Represents gene ontology function annotations.
http://kbpedia.org/kko/rc/muscle_action,muscle action ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Action a muscle engages in.
http://kbpedia.org/kko/rc/mushroom_cap_shape,mushroom cap shape ,http://www.w3.org/2004/02/skos/core#definition,11,circular,full,A property classifying the shape of the cap of a mushroom.
http://kbpedia.org/kko/rc/mushroom_ecological_type,mushroom ecological type ,http://www.w3.org/2004/02/skos/core#definition,9,circular,full,A property classifying the ecological type of a mushroom.
http://kbpedia.org/kko/rc/music_by,musicBy,http://www.w3.org/2004/02/skos/core#definition,5,short,full,The composer of the soundtrack.
http://kbpedia.org/kko/rc/narrative_location,narrative location ,http://www.w3.org/2004/02/skos/core#definition,10,circular,full,The narrative of the work is set in this location.
http://kbpedia.org/kko/rc/nationality,nationality,http://www.w3.org/2004/02/skos/core#definition,4,short,full,Nationality of the person.
http://kbpedia.org/kko/rc/neurological_function,neurological function ,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The function of a neurological structure.
http://kbpedia.org/kko/rc/notation,notation ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Mathematical notation or another symbol.
http://kbpedia.org/kko/rc/object,object,http://www.w3.org/2004/02/skos/core#definition,39,markup,quick,"The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). e.g. John read <em>a book</em>."
http://kbpedia.org/kko/rc/objective_of_project_or_action,objective of project or action ,http://www.w3.org/2004/02/skos/core#definition,4,short,full,Desired result or outcome.
http://kbpedia.org/kko/rc/opposite_of,opposite of ,http://www.w3.org/2004/02/skos/core#definition,8,circular,full,Item that is the opposite of this item.
http://kbpedia.org/kko/rc/order_item_status,orderItemStatus,http://www.w3.org/2004/02/skos/core#definition,7,circular,full,The current status of the order item.
http://kbpedia.org/kko/rc/order_status,orderStatus,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The current status of the order.
http://kbpedia.org/kko/rc/organization_directed_from_the_office_or_person,organization directed from the office or person ,http://www.w3.org/2004/02/skos/core#definition,7,circular,full,Organization directed from the office or person.
http://kbpedia.org/kko/rc/owned_by,owned by ,http://www.w3.org/2004/02/skos/core#definition,4,short,full,Owner of the subject.
http://kbpedia.org/kko/rc/owner_of,owner of ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Entities owned by the subject.
http://kbpedia.org/kko/rc/parent,parent,http://www.w3.org/2004/02/skos/core#definition,5,short,full,A parent of this person.
http://kbpedia.org/kko/rc/parentOrganization,parentOrganization,http://www.w3.org/2004/02/skos/core#definition,14,markup,quick,"The larger organization that this organization is a <a class=""localLink"" href=""http://schema.org/subOrganization"">subOrganization</a> of, if any."
http://kbpedia.org/kko/rc/parent_club,parent club ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Parent club of this team.
http://kbpedia.org/kko/rc/parent_of_this_hybrid_breed_or_cultivar,"parent of this hybrid, breed, or cultivar ",http://www.w3.org/2004/02/skos/core#definition,7,circular,full,"Parent of this hybrid, breed, or cultivar."
http://kbpedia.org/kko/rc/parent_organization,parent organization,http://www.w3.org/2004/02/skos/core#definition,23,markup,quick,"Parent organization of an organization, opposite of subsidiaries (P355).', 'The larger organization that this organization is a <a class=""localLink"" href=""http://schema.org/subOrganization"">subOrganization</a> of, if any."
http://kbpedia.org/kko/rc/parents,parents,http://www.w3.org/2004/02/skos/core#definition,5,short,full,A parents of the person.
http://kbpedia.org/kko/rc/part_of_the_series,part of the series ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Series which contains the subject.
http://kbpedia.org/kko/rc/participant,participant,http://www.w3.org/2004/02/skos/core#definition,46,markup,quick,"Other co-agents that participated in the action indirectly. e.g. John wrote a book with <em>Steve</em>.', 'Person, group of people or organization (object) that actively takes/took part in an event or process (subject). Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams.."
http://kbpedia.org/kko/rc/partner_in_business_or_sport,partner in business or sport ,http://www.w3.org/2004/02/skos/core#definition,2,short,full,Professional collaborator.
http://kbpedia.org/kko/rc/pathogen_transmission_process,pathogen transmission process ,http://www.w3.org/2004/02/skos/core#definition,16,markup,quick,"Process by which a pathogen is transmitted, equivalent to ""transmitted by"" in the relation ontology http://purl.obolibrary.org/obo/RO_0002451."
http://kbpedia.org/kko/rc/payment_types_accepted,payment types accepted ,http://www.w3.org/2004/02/skos/core#definition,7,circular,full,Types of payment accepted by a venue.
http://kbpedia.org/kko/rc/penalty,penalty ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Penalty passed at a trial.
http://kbpedia.org/kko/rc/permit_audience,permitAudience,http://www.w3.org/2004/02/skos/core#definition,6,circular,full,The target audience for this permit.
http://kbpedia.org/kko/rc/plaintiff,plaintiff ,http://www.w3.org/2004/02/skos/core#definition,5,short,full,Party who initiates a lawsuit.
http://kbpedia.org/kko/rc/point_group,point group ,http://www.w3.org/2004/02/skos/core#definition,2,short,full,Crystal subdivision.
