id,object,relatesTo
ManMadeHazard,DangerousSituation,relatesToConcepts
MeasuringDevice,UnitOfMeasureConcept,relatesToConcepts
MeasuringSomething,UnitOfMeasureConcept,relatesToConcepts
MediaProduct,TemporallyExistingThing,relatesToConcepts
MineralPile,Pile,relatesToConcepts
ModernMilitaryOrganization,MilitaryOrganizationConcept,relatesToConcepts
Moxibustion,Alternative,relatesToConcepts
Narrative,TemporalStuffType,relatesToConcepts
NationalTreasure,HistoricTemporalThing,relatesToConcepts
NaturalHazard,DangerousSituation,relatesToConcepts
NaturalMaterial,Nature,relatesToConcepts
NaturalResourceType,TemporalStuffType,relatesToConcepts
ObjectTypes,TemporalStuffType,relatesToConcepts
Personhood,IndependentThing,relatesToConcepts
PowerSaw,DangerousTangibleThing,relatesToConcepts
ProcessType,TemporalStuffType,relatesToConcepts
RailroadSwitch,BranchingJunction,relatesToConcepts
Rapids,DangerousTangibleThing,relatesToConcepts
RawMaterials,Resource,relatesToConcepts
RecruitingActivity_Military,MilitaryOrganizationConcept,relatesToConcepts
ReleaseOfBiochemicallyHarmfulSubstance,DangerousSituation,relatesToConcepts
ReleaseOfBiochemicallyHarmfulSubstance,EventCausingDistressOrPain,relatesToConcepts
RenewableResource,Resource,relatesToConcepts
RoadwayInterchange,ArrangementOfLikeObjects,relatesToConcepts
RoadwayJunction,JunctionOfPaths,relatesToConcepts
Saw,DangerousTangibleThing,relatesToConcepts
Scandal,EventCausingDistressOrPain,relatesToConcepts
Scene_Dramatic,TemporallyContinuousThing,relatesToConcepts
ScubaDiving,DangerousActivity,relatesToConcepts
SelfControl,IndependentThing,relatesToConcepts
Shark_GreatWhite,DangerousTangibleThing,relatesToConcepts
SharkAttack,DangerousEvent,relatesToConcepts
Situation,TemporallyExistingThing,relatesToConcepts
SkyDiving,DangerousActivity,relatesToConcepts
Slide_Topographical,Pile,relatesToConcepts
Smoking,DangerousActivity,relatesToConcepts
SolarEnergy,Light_Stuff,relatesToConcepts
SpatialThing_Localized,TemporallyExistingThing,relatesToConcepts
SubAtomicParticle,TemporalThing,relatesToConcepts
SubstanceAbuse,DangerousActivity,relatesToConcepts
Technology_Artifact,Technology,relatesToConcepts
TechnologyEvangelism,Technology,relatesToConcepts
TechnologyInTheMiddleAges,Technology,relatesToConcepts
TelephoneSystem,TransactionalNetwork,relatesToConcepts
TimeInterval,TemporallyExtendedThing,relatesToConcepts
Timekeeping,UnitOfMeasureConcept,relatesToConcepts
TornadoAsObject,DangerousTangibleThing,relatesToConcepts
TortureDevice,DangerousTangibleThing,relatesToConcepts
Water_Fresh,WaterResources,relatesToConcepts
Weapon,DangerousTangibleThing,relatesToConcepts
WholeBody,IndependentThing,relatesToConcepts
Wildfire,DangerousSituation,relatesToConcepts
AdultConsumer,ExtrinsicAspect,relatesToContextualAttributes
EconomicalQuantity,EconomicAttribute,relatesToContextualAttributes
GenreTypes,Classification,relatesToContextualAttributes
GeographicalQuantity,GeographicAttribute,relatesToContextualAttributes
PersonTypeByMaritalStatus,ExtrinsicAspect,relatesToContextualAttributes
Quantity,QuantityAttribute,relatesToContextualAttributes
SocialQuantity,SocialAttribute,relatesToContextualAttributes
Action,Actions,relatesToCopulativeRelations
ArtSupplies,Supplies,relatesToCopulativeRelations
FoodGroup,ConventionalClassificationType,relatesToCopulativeRelations
Group,CollectionType,relatesToCopulativeRelations
IndustrialSupply,Supplies,relatesToCopulativeRelations
LaboratorySupply,Supplies,relatesToCopulativeRelations
MedicalSupply,Supplies,relatesToCopulativeRelations
MusicTypeByGenre,ConventionalClassificationType,relatesToCopulativeRelations
OrganismTypes,ConventionalClassificationType,relatesToCopulativeRelations
PersonTypeByOccupation,ConventionalClassificationType,relatesToCopulativeRelations
PersonTypes,ConventionalClassificationType,relatesToCopulativeRelations
StyleAttribute,ConventionalClassificationType,relatesToCopulativeRelations
AutoPart,PhysicalParts,relatesToDirectRelations
CellPart,BiologicalParts,relatesToDirectRelations
CellPart,Parts,relatesToDirectRelations
OrganismPart,BiologicalParts,relatesToDirectRelations
OrganismPart,Parts,relatesToDirectRelations
Parts_Topic,Parts,relatesToDirectRelations
PhysicalPartOfObject,Parts,relatesToDirectRelations
PhysicalPartOfObject,PhysicalParts,relatesToDirectRelations
AilmentCondition,ChronicCondition,relatesToDiseases
BiochemicallyHarmfulSubstance,DiseaseAgent,relatesToDiseases
SymptomConditions,PhysiologicalCondition,relatesToDiseases
CommercialOrganization,BusinessRelatedThing,relatesToEconomicSystems
PersonWithOccupation,BusinessRelatedThing,relatesToEconomicSystems
PersonWithOccupation,BusinessRelatedThing,relatesToEconomicSystems
VerificationOfCredit,Credit,relatesToEconomicSystems
Bill_Currency,CoinCollecting,relatesToEventTypes
MedicalTreatmentEvent,TreatmentProcedure,relatesToEventTypes
Carnivory,Meat,relatesToFoodDrink
Produce,Food,relatesToFoodDrink
Aquifer,Layer,relatesToForms
AtmosphericBoundaryLayer,Layer,relatesToForms
AtmosphericLayer,Layer,relatesToForms
BlindShade,Collapsible,relatesToForms
