s,p,o
kko:ActionTypes,owl:equivalentClass,http://www.wikidata.org/entity/Q4026292
kko:Agents,owl:equivalentClass,http://www.wikidata.org/entity/Q137372
kko:AttributeTypes,kko:superClassOf,http://www.wikidata.org/entity/Q937228
kko:BiologicalProcesses,owl:equivalentClass,http://www.wikidata.org/entity/Q2996394
kko:Chemistry,owl:equivalentClass,http://www.wikidata.org/entity/Q2329
kko:Concepts,rdfs:subClassOf,http://www.wikidata.org/entity/Q151885
kko:ConceptualSystems,owl:equivalentClass,http://www.wikidata.org/entity/Q3622126
kko:Denotatives,owl:equivalentClass,http://www.wikidata.org/entity/Q1189753
kko:Diseases,owl:equivalentClass,http://www.wikidata.org/entity/Q12136
kko:Geopolitical,owl:equivalentClass,http://www.wikidata.org/entity/Q7888613
kko:Information,owl:equivalentClass,http://www.wikidata.org/entity/Q11028
kko:IntrinsicAttributes,owl:equivalentClass,http://www.wikidata.org/entity/Q2722260
kko:KnowledgeDomains,kko:superClassOf,http://www.wikidata.org/entity/Q336
kko:Manifestations,owl:equivalentClass,http://www.wikidata.org/entity/Q286583
kko:MediativeRelations,owl:equivalentClass,http://www.wikidata.org/entity/Q12223979
kko:Methodeutic,owl:equivalentClass,http://www.wikidata.org/entity/Q7894159
kko:NaturalPhenomena,owl:equivalentClass,http://www.wikidata.org/entity/Q1322005
kko:OrganicMatter,owl:equivalentClass,http://www.wikidata.org/entity/Q1783121
kko:Plants,owl:equivalentClass,http://www.wikidata.org/entity/Q756
kko:PrimarySectorProducts,owl:equivalentClass,http://www.wikidata.org/entity/Q55640
kko:Products,kko:superClassOf,http://www.wikidata.org/entity/Q2424752
kko:Prokaryotes,owl:equivalentClass,http://www.wikidata.org/entity/Q19081
kko:SecondarySectorProducts,owl:equivalentClass,http://www.wikidata.org/entity/Q55639
kko:SocialSystems,owl:equivalentClass,http://www.wikidata.org/entity/Q1639378
kko:TertiarySectorServices,owl:equivalentClass,http://www.wikidata.org/entity/Q55638
rc:100EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2903520
rc:10EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2419695
rc:10MeterAirPistol,owl:equivalentClass,http://www.wikidata.org/entity/Q79229
rc:112_Trichloro_122_trifluoroethane,owl:equivalentClass,http://www.wikidata.org/entity/Q161276
rc:124_Trioxane,owl:equivalentClass,http://www.wikidata.org/entity/Q2806555
rc:12_Dichlorotetrafluoroethane,owl:equivalentClass,http://www.wikidata.org/entity/Q420380
rc:12_Dimethoxybenzene,owl:equivalentClass,http://www.wikidata.org/entity/Q131994
rc:12_O_Tetradecanoylphorbol_13_acetate,owl:equivalentClass,http://www.wikidata.org/entity/Q416716
rc:13_Dimethylpentylamine,owl:equivalentClass,http://www.wikidata.org/entity/Q2594649
rc:14_Dimethoxybenzene,owl:equivalentClass,http://www.wikidata.org/entity/Q4545697
rc:14_Dioxane,owl:equivalentClass,http://www.wikidata.org/entity/Q161532
rc:17_Hydroxypregnenolone,owl:equivalentClass,http://www.wikidata.org/entity/Q2064889
rc:17_Ketosteroid,owl:equivalentClass,http://www.wikidata.org/entity/Q929864
rc:1948Arab_IsraeliWar,owl:equivalentClass,http://www.wikidata.org/entity/Q49092
rc:1999UEFAChampionsLeagueFinal,owl:equivalentClass,http://www.wikidata.org/entity/Q833096
rc:1_2_Nitrophenoxyoctane,owl:equivalentClass,http://www.wikidata.org/entity/Q7031552
rc:1_Amino_2_propanol,owl:equivalentClass,http://www.wikidata.org/entity/Q161580
rc:1_Amino_2_propanone,owl:equivalentClass,http://www.wikidata.org/entity/Q4545767
rc:1p36DeletionSyndrome,owl:equivalentClass,http://www.wikidata.org/entity/Q3297103
rc:2009FluPandemic,owl:equivalentClass,http://www.wikidata.org/entity/Q101452
rc:200EuroNote,owl:equivalentClass,http://www.wikidata.org/entity/Q2903527
rc:2011CricketWorldCup,owl:equivalentClass,http://www.wikidata.org/entity/Q911295
rc:2011CricketWorldCup_Cricketers,owl:equivalentClass,http://www.wikidata.org/entity/Q8427158
rc:2011IIHFWorldChampionship,owl:equivalentClass,http://www.wikidata.org/entity/Q838382
rc:2011RugbyWorldCup,owl:equivalentClass,http://www.wikidata.org/entity/Q270736
rc:2011SoutheastAsianGames,owl:equivalentClass,http://www.wikidata.org/entity/Q1144097
rc:2011WorldAquaticsChampionship_Diving,owl:equivalentClass,http://www.wikidata.org/entity/Q923140
rc:2011WorldAquaticsChampionships,owl:equivalentClass,http://www.wikidata.org/entity/Q330343
rc:2011WorldAquaticsChampionships_OpenWaterSwimming,owl:equivalentClass,http://www.wikidata.org/entity/Q1055892
