frag_new,frag_old,qid,p,version_status,old_qid,id_type
SierraNevada_Mountains,SierraNevada-Mountains,Q2624046,owl:equivalentClass,REVISED,,rc
Sight_Device,Sight-Device,Q1134322,owl:equivalentClass,REVISED,,rc
SignalTransduction_CellularProcess,SignalTransduction-CellularProcess,Q828130,owl:equivalentClass,REVISED,,rc
SignLanguages,SignLanguage,Q34228,owl:equivalentClass,REVISED,,rc
SikorskyH_5,SikorskyH-5,Q1810661,owl:equivalentClass,REVISED,,rc
SilkCloth,SilkThread,Q37681,owl:equivalentClass,REVISED,,rc
Sill_TerrainFeature,Sill-TerrainFeature,Q830230,owl:equivalentClass,REVISED,,rc
Silurian_GeologicalPeriod,Silurian-GeologicalPeriod,Q62412,owl:equivalentClass,REVISED,,rc
Siluriformes,Catfish,Q59576,owl:equivalentClass,REVISED,,rc
SilverMedal_Physical,SilverMedal-Physical,Q847956,owl:equivalentClass,REVISED,,rc
Simile_FigureOfSpeech,Simile-FigureOfSpeech,Q199714,owl:equivalentClass,REVISED,,rc
Simulation_Activity,Simulation,Q45045,owl:equivalentClass,REVISED,,rc
Simuliidae,BlackFly,Q720467,owl:equivalentClass,REVISED,,rc
Sinaloa_StateMexico,Sinaloa-StateMexico,Q80252,owl:equivalentClass,REVISED,,rc
Singer_songwriter,Singer-songwriter,Q488205,owl:equivalentClass,REVISED,,rc
SinNombre_Virus,SinNombre-Virus,Q29002562,owl:equivalentClass,REVISED,,rc
SinoTibetanLanguages,Sino-TibetanLanguageFamily,Q45961,owl:equivalentClass,REVISED,,rc
SiouanLanguages,SiouanLanguageFamily,Q34181,owl:equivalentClass,REVISED,,rc
Siphonaptera,Flea,Q388162,owl:equivalentClass,REVISED,,rc
Siquijor_ProvincePhilippines,Siquijor-ProvincePhilippines,Q13879,owl:equivalentClass,REVISED,,rc
Sirach_BookOfApocrypha,Sirach-BookOfApocrypha,Q3092598,owl:equivalentClass,REVISED,,rc
SirDavidsLong_beakedEchidna,SirDavidsLong-beakedEchidna,Q757942,owl:equivalentClass,REVISED,,rc
Siren_Salamander,Siren-SalamanderGenus,Q2103674,owl:equivalentClass,REVISED,,rc
SirFrancisDrake_HistoricPerson,SirFrancisDrake-HistoricPerson,Q36517,owl:equivalentClass,REVISED,,rc
Sirius_Star,Sirius-Star,Q3409,owl:equivalentClass,REVISED,,rc
SirThomasMore_Author,SirThomasMore-Author,Q42544,owl:equivalentClass,REVISED,,rc
Sisal_Fiber,Sisal-Fiber,Q847423,owl:equivalentClass,REVISED,,rc
Sissili_ProvinceBurkinaFaso,Sissili-ProvinceBurkinaFaso,Q964281,owl:equivalentClass,REVISED,,rc
SistanVaBaluchestan_ProvinceIran,SistanVaBaluchestan-ProvinceIran,Q939575,owl:equivalentClass,REVISED,,rc
Sit_In,Sit-In,Q1147337,owl:equivalentClass,REVISED,,rc
Sivan_JewishMonth,Sivan-JewishMonth,Q2291025,owl:equivalentClass,REVISED,,rc
Six_bandedArmadillo,Six-bandedArmadillo,Q902876,owl:equivalentClass,REVISED,,rc
Skane_ProvinceSweden,Skane-ProvinceSweden,Q180756,owl:equivalentClass,REVISED,,rc
Skat_CardGame,Skat-CardGame,Q504577,owl:equivalentClass,REVISED,,rc
Skate_TheShoe,Skate-TheShoe,Q353000,owl:equivalentClass,REVISED,,rc
Ski,Ski-BoardPart,Q172226,owl:equivalentClass,REVISED,,rc
Ski_BoardPart,Ski-BoardPart,Q172226,owl:equivalentClass,REVISED,,rc
Skierniewice_ProvincePoland,Skierniewice-ProvincePoland,Q2734,owl:equivalentClass,REVISED,,rc
Skill,SkillsMethod,Q205961,owl:equivalentClass,REVISED,,rc
SkinDisorder,SkinAilment,Q949302,owl:equivalentClass,REVISED,,rc
SkiResort_Attraction,SkiResort-Attraction,Q130003,owl:equivalentClass,REVISED,,rc
SkyDiving,Parachuting,Q193210,owl:equivalentClass,REVISED,,rc
Skye_Island,Skye-Island,Q107393,owl:equivalentClass,REVISED,,rc
Skylon_Spacecraft,Skylon-Spacecraft,Q618985,owl:equivalentClass,REVISED,,rc
Slaskie_ProvincePoland,Slaskie-ProvincePoland,Q54181,owl:equivalentClass,REVISED,,rc
Slat,BlindShade,Q321046,owl:equivalentClass,REVISED,,rc
Slaty_headedParakeet,Slaty-headedParakeet,Q1036497,owl:equivalentClass,REVISED,,rc
SlaveTrafficking,HumanTrafficking,Q181784,owl:equivalentClass,REVISED,,rc
SlavicLanguages,SlavicLanguageFamily,Q23526,owl:equivalentClass,REVISED,,rc
SledDog_FunctionalGroup,SledDog-FunctionalGroup,Q28997,owl:equivalentClass,REVISED,,rc
Sleepover_SocialGathering,Sleepover-SocialGathering,Q1050152,owl:equivalentClass,REVISED,,rc
Slide_Photograph,Slide-Photograph,Q166816,owl:equivalentClass,REVISED,,rc
Slideshow,Presentation,Q604733,owl:equivalentClass,REVISED,,rc
SlideshowPresentation,Presentation,Q604733,owl:equivalentClass,REVISED,,rc
SlimeLayer_Bacterium,SlimeLayer-Bacterium,Q7540648,owl:equivalentClass,REVISED,,rc
Sloth,Sloth dumme kinder,Q2274076,owl:equivalentClass,REVISED,,rc
Slupsk_ProvincePoland,Slupsk-ProvincePoland,Q105048,owl:equivalentClass,REVISED,,rc
SmallArm_Weapon,SmallArm-Weapon,Q1058629,owl:equivalentClass,REVISED,,rc
SmallPrint_PCW,SmallPrint-PCW,Q5450125,owl:equivalentClass,REVISED,,rc
SmallTown,Town,Q3957,owl:equivalentClass,REVISED,,rc
SmithsonianAmericanArtMuseum_Organization,SmithsonianAmericanArtMuseum-Organization,Q1192305,owl:equivalentClass,REVISED,,rc
SmokingACigarette,Tobacco-smoking,Q7212330,owl:equivalentClass,REVISED,,rc
SmokingCooking,Smoked,Q193713,owl:equivalentClass,REVISED,,rc
Smoky_brownWoodpecker,Smoky-brownWoodpecker,Q27074920,owl:equivalentClass,REVISED,,rc
Smooth,Surface-Roughness,Q114817,owl:equivalentClass,REVISED,,rc
Smooth_coatedOtter,Smooth-coatedOtter,Q754737,owl:equivalentClass,REVISED,,rc
Sniper_Professional,Sniper-Professional,Q201948,owl:equivalentClass,REVISED,,rc
Snowfield,SnowField,Q1365419,owl:equivalentClass,REVISED,,rc
SnowPea_Foodstuff,SnowPea-Foodstuff,Q1422840,owl:equivalentClass,REVISED,,rc
SnowSkiing,Skiing,Q130949,owl:equivalentClass,REVISED,,rc
Soap_Personal,Soap-Personal,Q34396,owl:equivalentClass,REVISED,,rc
Soccer,AssociationFootball,Q2736,owl:equivalentClass,REVISED,,rc
SoccerLeague_Brazil,SoccerLeague-Brazil,Q2171693,owl:equivalentClass,REVISED,,rc
SocialBeliefSystem,SocialMovement,Q49773,owl:equivalentClass,REVISED,,rc
SocialClub_Organization,SocialClub-Organization,Q17148672,owl:equivalentClass,REVISED,,rc
SocialEngineering_PoliticalScience,SocialEngineering-PoliticalScience,Q847808,owl:equivalentClass,REVISED,,rc
SocialEngineering_Security,SocialEngineering,Q376934,owl:equivalentClass,REVISED,,rc
SocialProblem,SocialIssue,Q1920219,owl:equivalentClass,REVISED,,rc
Society_Organization,Society-Organization,Q8425,owl:equivalentClass,REVISED,,rc
SocietyIslands_FrenchPolynesia,SocietyIslands-FrenchPolynesia,Q118920,owl:equivalentClass,REVISED,,rc
Socken_Scandinavia,Socken-Scandinavia,Q1523821,owl:equivalentClass,REVISED,,rc
SodiumChloride,Salt-NaCl,Q2314,owl:equivalentClass,REVISED,,rc
Softball_TheGame,Softball-TheGame,Q171038,owl:equivalentClass,REVISED,,rc
Software_build,Software-build,Q1362142,owl:equivalentClass,REVISED,,rc
SoftwareDemonstration,Shareware,Q185534,owl:equivalentClass,REVISED,,rc
SoftwareDevelopmentProcess_Complete,SoftwareDevelopmentProcess-Complete,Q2904257,owl:equivalentClass,REVISED,,rc
SoftwareMaintenanceSupport,SoftwareMaintenance,Q940053,owl:equivalentClass,REVISED,,rc
SoftwareObject_Individual,Software,Q7397,owl:equivalentClass,REVISED,,rc
SoilConditioning,SoilConditioner,Q2842710,owl:equivalentClass,REVISED,,rc
SokoG_2,SokoG-2,Q1479510,owl:equivalentClass,REVISED,,rc
SokoG_4SuperGaleb,SokoG-4SuperGaleb,Q1031885,owl:equivalentClass,REVISED,,rc
Solid_StateOfMatter,Solid-StateOfMatter,Q11438,owl:equivalentClass,REVISED,,rc
SolidTangibleArtifact,PhysicalObject,Q223557,owl:equivalentClass,REVISED,,rc
SolomonIslands_TheNation,SolomonIslands-TheNation,Q685,owl:equivalentClass,REVISED,,rc
Somateria,Eider,Q690813,owl:equivalentClass,REVISED,,rc
SONAR_Device,SONAR-Device,Q133220,owl:equivalentClass,REVISED,,rc
Song_Sung,Song,Q7366,owl:equivalentClass,REVISED,,rc
SonghaiLanguage,SonghaiLanguageFamily,Q505198,owl:equivalentClass,REVISED,,rc
SongOfSolomon_BookOfBible,SongOfSolomon-BookOfBible,Q51670,owl:equivalentClass,REVISED,,rc
SonLa_ProvinceVietnam,SonLa-ProvinceVietnam,Q33415,owl:equivalentClass,REVISED,,rc
Sonora_StateMexico,Sonora-StateMexico,Q46422,owl:equivalentClass,REVISED,,rc
Sonorant_Consonant,Sonorant-Consonant,Q31627,owl:equivalentClass,REVISED,,rc
SonyPlayStation2_TheProduct,SonyPlayStation2-TheProduct,Q10680,owl:equivalentClass,REVISED,,rc
SonyPlayStation3_TheProduct,SonyPlayStation3-TheProduct,Q10683,owl:equivalentClass,REVISED,,rc
Soprano_Singer,Soprano-Singer,Q30903,owl:equivalentClass,REVISED,,rc
Sorghum,Sorghum-TheGrain,Q12111,owl:equivalentClass,REVISED,,rc
Sorghum_TheGrain,Sorghum-TheGrain,Q12111,owl:equivalentClass,REVISED,,rc
SorghumPlant,SorghumBicolor,Q332062,owl:equivalentClass,REVISED,,rc
Soricidae,Shrew,Q41631,owl:equivalentClass,REVISED,,rc
Sorsogon_ProvincePhilippines,Sorsogon-ProvincePhilippines,Q13881,owl:equivalentClass,REVISED,,rc
SoufriereHillsVolcano_Montserrat,SoufriereHillsVolcano-Montserrat,Q26544,owl:equivalentClass,REVISED,,rc
SoukAhras_ProvinceAlgeria,SoukAhras-ProvinceAlgeria,Q236772,owl:equivalentClass,REVISED,,rc
Soul_Spiritual,Soul-Spiritual,Q9165,owl:equivalentClass,REVISED,,rc
Soum_ProvinceBurkinaFaso,Soum-ProvinceBurkinaFaso,Q385973,owl:equivalentClass,REVISED,,rc
Sound_BodyOfWater,Sound-BodyOfWater,Q491713,owl:equivalentClass,REVISED,,rc
Sourou_ProvinceBurkinaFaso,Sourou-ProvinceBurkinaFaso,Q558703,owl:equivalentClass,REVISED,,rc
South_African_English,South-African-English,Q1156228,owl:equivalentClass,REVISED,,rc
South_Asia,South-Asia,Q771405,owl:equivalentClass,REVISED,,rc
South_Generally,South-Generally,Q667,owl:equivalentClass,REVISED,,rc
South_ProvinceCameroon,South-ProvinceCameroon,Q857122,owl:equivalentClass,REVISED,,rc
South_Star,South-Star,Q1081175,owl:equivalentClass,REVISED,,rc
South_USRegion,South-USRegion,Q49042,owl:equivalentClass,REVISED,,rc
SouthCarolina_classBattleship,SouthCarolina-classBattleship,Q2556128,owl:equivalentClass,REVISED,,rc
SouthCarolina_State,SouthCarolina-State,Q1456,owl:equivalentClass,REVISED,,rc
SouthCentral_USRegion,SouthCentral-USRegion,Q1189461,owl:equivalentClass,REVISED,,rc
SouthCotabato_ProvincePhilippines,SouthCotabato-ProvincePhilippines,Q13882,owl:equivalentClass,REVISED,,rc
SouthDakota_classBattleship,SouthDakota-classBattleship,Q1539512,owl:equivalentClass,REVISED,,rc
SouthDakota_State,SouthDakota-State,Q1211,owl:equivalentClass,REVISED,,rc
Southeast_USRegion,Southeast-USRegion,Q1139046,owl:equivalentClass,REVISED,,rc
SoutheastDivision_NHL,SoutheastDivision-NHL,Q834445,owl:equivalentClass,REVISED,,rc
SoutheasternFour_eyedOpossum,SoutheasternFour-eyedOpossum,Q194603,owl:equivalentClass,REVISED,,rc
SouthernAlps_Mountain,SouthernAlps-Mountain,Q206650,owl:equivalentClass,REVISED,,rc
SouthernBlue_ringedOctopus,SouthernBlue-ringedOctopus,Q1850495,owl:equivalentClass,REVISED,,rc
SouthernCone_SouthAmerica,SouthernCone-SouthAmerica,Q236118,owl:equivalentClass,REVISED,,rc
SouthernFinland_ProvinceFinland,SouthernFinland-ProvinceFinland,Q188752,owl:equivalentClass,REVISED,,rc
SouthernLeaf_tailedGecko,SouthernLeaf-tailedGecko,Q3024478,owl:equivalentClass,REVISED,,rc
SouthernLeague_Baseball,SouthernLeague-Baseball,Q7569777,owl:equivalentClass,REVISED,,rc
SouthernLeyte_ProvincePhilippines,SouthernLeyte-ProvincePhilippines,Q13884,owl:equivalentClass,REVISED,,rc
SouthernLiveOak_Tree,SouthernLiveOak-Tree,Q1758722,owl:equivalentClass,REVISED,,rc
SouthernLong_nosedArmadillo,SouthernLong-nosedArmadillo,Q1767476,owl:equivalentClass,REVISED,,rc
SouthernNaked_tailedArmadillo,SouthernNaked-tailedArmadillo,Q1768774,owl:equivalentClass,REVISED,,rc
SouthernRed_sidedOpossum,SouthernRed-sidedOpossum,Q194478,owl:equivalentClass,REVISED,,rc
SouthernThree_bandedArmadillo,SouthernThree-bandedArmadillo,Q75070,owl:equivalentClass,REVISED,,rc
SouthernThree_stripedOpossum,SouthernThree-stripedOpossum,Q194464,owl:equivalentClass,REVISED,,rc
SouthernWhite_facedOwl,SouthernWhite-facedOwl,Q1271082,owl:equivalentClass,REVISED,,rc
SouthGeorgia_Island,SouthGeorgia-Island,Q1137202,owl:equivalentClass,REVISED,,rc
SouthIsland_NZ,SouthIsland-NZ,Q120755,owl:equivalentClass,REVISED,,rc
SouthOrkneys_Archipelago,SouthOrkneys-Archipelago,Q207383,owl:equivalentClass,REVISED,,rc
Southwest_USRegion,Southwest-USRegion,Q858847,owl:equivalentClass,REVISED,,rc
Sovereign_BritishCoin,Sovereign-BritishCoin,Q584496,owl:equivalentClass,REVISED,,rc
SovetskySoyuz_classBattleship,SovetskySoyuz-classBattleship,Q432231,owl:equivalentClass,REVISED,,rc
Soybean,SoybeanPlant,Q11006,owl:equivalentClass,REVISED,,rc
SpaceChunk_Empirical,ThreeDimensionalSpace,Q34929,owl:equivalentClass,REVISED,,rc
SpaceTransportationEvent,HumanSpaceflight,Q752783,owl:equivalentClass,REVISED,,rc
Spade_TheSuit,Spade-TheSuit,Q2094951,owl:equivalentClass,REVISED,,rc
Spam_MeatProduct,Spam-MeatProduct,Q606132,owl:equivalentClass,REVISED,,rc
Spam_UnsolicitedEMail,Spam-UnsolicitedEMail,Q83058,owl:equivalentClass,REVISED,,rc
Spamming,Spam-UnsolicitedEMail,Q83058,owl:equivalentClass,REVISED,,rc
SpanishPeople,SpanishPerson,Q160894,owl:equivalentClass,REVISED,,rc
SpareRib_MeatCut,SpareRib-MeatCut,Q1967823,owl:equivalentClass,REVISED,,rc
Speaker_Politics,Speaker-Politics,Q1758037,owl:equivalentClass,REVISED,,rc
SpecialArea_Conservation,SpecialArea-Conservation,Q1191622,owl:equivalentClass,REVISED,,rc
SpecialBranch_British,SpecialBranch-British,Q2700062,owl:equivalentClass,REVISED,,rc
SpecialForcesUnit_MilitarySpecialty,MilitarySpecialForce,Q234497,owl:equivalentClass,REVISED,,rc
Specialist,SkilledWorker,Q1391344,owl:equivalentClass,REVISED,,rc
SpecializedRecreationalVehicle,RecreationalVehicle,Q746448,owl:equivalentClass,REVISED,,rc
Specious_Present,Specious-Present,Q7575034,owl:equivalentClass,REVISED,,rc
Speckle_throatedOtter,Speckle-throatedOtter,Q577677,owl:equivalentClass,REVISED,,rc
SpeckledHawk_owl,SpeckledHawk-owl,Q1266171,owl:equivalentClass,REVISED,,rc
Spectroscope,Spectrometer,Q188463,owl:equivalentClass,REVISED,,rc
SpectroscopicEquipment,Spectroscopy,Q483666,owl:equivalentClass,REVISED,,rc
Spelunker,Caver,Q20150172,owl:equivalentClass,REVISED,,rc
Spermatopsida,Spermatophyte,Q25814,owl:equivalentClass,REVISED,,rc
SPG_9,SPG-9,Q1781096,owl:equivalentClass,REVISED,,rc
Spheniscidae,Penguin,Q9147,owl:equivalentClass,REVISED,,rc
Spica_Star,Spica-Star,Q13008,owl:equivalentClass,REVISED,,rc
SpinalBoard,SpineBoard,Q1784028,owl:equivalentClass,REVISED,,rc
SpinalColumn,VertebralColumn,Q482853,owl:equivalentClass,REVISED,,rc
Spinning_Textile,Spinning-Textile,Q59172,owl:equivalentClass,REVISED,,rc
SpinningWool,Spinning-Textile,Q59172,owl:equivalentClass,REVISED,,rc
Spirit_Intangible,Spirit-Intangible,Q193291,owl:equivalentClass,REVISED,,rc
Spirochaetaceae,Spirochaetaceae-Family,Q845770,owl:equivalentClass,REVISED,,rc
Spirochaetales,Spirochaetales-Order,Q221315,owl:equivalentClass,REVISED,,rc
Spirulina,SpirulinaGenus,Q14565729,owl:equivalentClass,REVISED,,rc
Sponge_CleaningImplement,Sponge-CleaningImplement,Q1210980,owl:equivalentClass,REVISED,,rc
Spoon_billedSandpiper,Spoon-billedSandpiper,Q844897,owl:equivalentClass,REVISED,,rc
SportClub,SportsClub,Q847017,owl:equivalentClass,REVISED,,rc
SportFishing,RecreationalFishing,Q283534,owl:equivalentClass,REVISED,,rc
SportsCommissioner,Commissioner-Rank,Q524778,owl:equivalentClass,REVISED,,rc
SportsFranchise,ProfessionalSportsLeague,Q15991290,owl:equivalentClass,REVISED,,rc
SportsGround,AthleticField,Q1202618,owl:equivalentClass,REVISED,,rc
Spot_breastedWoodpecker,Spot-breastedWoodpecker,Q1260919,owl:equivalentClass,REVISED,,rc
SpottedPaddle_TailNewt,SpottedPaddle-TailNewt,Q2496360,owl:equivalentClass,REVISED,,rc
Spread_Food,Spread-Food,Q1472481,owl:equivalentClass,REVISED,,rc
SpreadsheetProgram,SpreadsheetSoftware,Q183197,owl:equivalentClass,REVISED,,rc
Spring_WaterSource,Spring-WaterSource,Q124714,owl:equivalentClass,REVISED,,rc
SprintCarRacing_Sport,SprintCarRacing-Sport,Q3290416,owl:equivalentClass,REVISED,,rc
Spur_throatedGrasshopper,Spur-throatedGrasshopper,Q6811522,owl:equivalentClass,REVISED,,rc
Spur_Topographical,Spur-Topographical,Q1400565,owl:equivalentClass,REVISED,,rc
SpurThroatedGrasshopper,Melanoplinae,Q607095,owl:equivalentClass,REVISED,,rc
SQL_Language,SQL-Language,Q47607,owl:equivalentClass,REVISED,,rc
Squad_MilitaryEchelon,Squad-MilitaryEchelon,Q207063,owl:equivalentClass,REVISED,,rc
Squamata,ScaledReptile,Q122422,owl:equivalentClass,REVISED,,rc
Squatter,IllegallyOccupyingADwellingPlace,Q44854,owl:equivalentClass,REVISED,,rc
SqueezingWithHand,Compression-Physics,Q2712821,owl:equivalentClass,REVISED,,rc
StairStep,StepOfStairs,Q13222221,owl:equivalentClass,REVISED,,rc
Stalingrad_classBattlecruiser,Stalingrad-classBattlecruiser,Q2536253,owl:equivalentClass,REVISED,,rc
Stalk,Stem,Q134267,owl:equivalentClass,REVISED,,rc
Stalk_eyedFly,Stalk-eyedFly,Q2142779,owl:equivalentClass,REVISED,,rc
Stalk_eyedMudCrab,Stalk-eyedMudCrab,Q7597270,owl:equivalentClass,REVISED,,rc
Standard_Stream,Standard-Stream,Q219320,owl:equivalentClass,REVISED,,rc
Standard_TemperatureAndPressure,Standard-TemperatureAndPressure,Q102145,owl:equivalentClass,REVISED,,rc
Staphylinidae,RoveBeetle,Q467400,owl:equivalentClass,REVISED,,rc
Stardust_Probe,Stardust-Probe,Q205747,owl:equivalentClass,REVISED,,rc
Starving,Starvation,Q853930,owl:equivalentClass,REVISED,,rc
State_Australia,State-Australia,Q178712,owl:equivalentClass,REVISED,,rc
State_India,State-India,Q131541,owl:equivalentClass,REVISED,,rc
State_SponsoredTerroristAct,State-SponsoredTerroristAct,Q3406090,owl:equivalentClass,REVISED,,rc
State_UnitedStates,State-UnitedStates,Q35657,owl:equivalentClass,REVISED,,rc
Statherian_GeologicalPeriod,Statherian-GeologicalPeriod,Q684942,owl:equivalentClass,REVISED,,rc
Stavropol_TerritoryRussia,Stavropol-TerritoryRussia,Q5206,owl:equivalentClass,REVISED,,rc
Stay_At_HomeDad,Stay-At-HomeDad,Q2154210,owl:equivalentClass,REVISED,,rc
Stay_BoatPart,Stay-BoatPart,Q1798276,owl:equivalentClass,REVISED,,rc
Steak_Beef_MeatCut,Steak-Beef-MeatCut,Q213062,owl:equivalentClass,REVISED,,rc
Steakhouse_Organization,Steakhouse-Organization,Q3109696,owl:equivalentClass,REVISED,,rc
Stealing,Theft,Q2727213,owl:equivalentClass,REVISED,,rc
Stealing_Embezzlement,Stealing-Embezzlement,Q157833,owl:equivalentClass,REVISED,,rc
SteamPower,SteamEngine,Q12760,owl:equivalentClass,REVISED,,rc
SteelMill_ManufacturingFacility,SteelMill-ManufacturingFacility,Q2069494,owl:equivalentClass,REVISED,,rc
Steeplechase_3000Meter,Steeplechase-3000Meter,Q10437559,owl:equivalentClass,REVISED,,rc
Stenian_GeologicalPeriod,Stenian-GeologicalPeriod,Q776333,owl:equivalentClass,REVISED,,rc
Stenosis_Condition,Stenosis-Condition,Q2343082,owl:equivalentClass,REVISED,,rc
Stereophotogrammetry,Photogrammetry,Q190149,owl:equivalentClass,REVISED,,rc
StethoscopeRelated,Stethoscope,Q162339,owl:equivalentClass,REVISED,,rc
Stew_Foodstuff,Stew-Foodstuff,Q2920963,owl:equivalentClass,REVISED,,rc
StewartIsland_NZ,StewartIsland-NZ,Q41684,owl:equivalentClass,REVISED,,rc
Sticker_Adhesive,Sticker-Adhesive,Q2872553,owl:equivalentClass,REVISED,,rc
Stigma_PlantPart,Stigma-PlantPart,Q22329380,owl:equivalentClass,REVISED,,rc
STIHL_Timbersports_Series,STIHL-Timbersports-Series,Q2349431,owl:equivalentClass,REVISED,,rc
Still_Device,Still-Device,Q1436130,owl:equivalentClass,REVISED,,rc
StillCamera_Digital,StillCamera-Digital,Q20741022,owl:equivalentClass,REVISED,,rc
StillImage,StillPictureFilm,Q17538176,owl:equivalentClass,REVISED,,rc
Stilt_Bird,Stilt-Bird,Q316342,owl:equivalentClass,REVISED,,rc
Stilton_Cheese,Stilton-Cheese,Q466749,owl:equivalentClass,REVISED,,rc
StirlingAircraftEngine,StirlingEngine,Q186212,owl:equivalentClass,REVISED,,rc
Stitch,EmbroideryStitch,Q934569,owl:equivalentClass,REVISED,,rc
StJohnsWort_Plant,StJohnsWort-Plant,Q158289,owl:equivalentClass,REVISED,,rc
StLouisEncephalitis_Virus,StLouisEncephalitis-Virus,Q567660,owl:equivalentClass,REVISED,,rc
StochasticModel,StochasticProcess,Q176737,owl:equivalentClass,REVISED,,rc
StockCar,RaceCar,Q673687,owl:equivalentClass,REVISED,,rc
StockIndex,StockMarketIndex,Q223371,owl:equivalentClass,REVISED,,rc
StockIndexGroup,StockMarketIndex,Q223371,owl:equivalentClass,REVISED,,rc
StockMarketInvesting,Investment,Q4290,owl:equivalentClass,REVISED,,rc
StockOption,FinancialOption,Q187860,owl:equivalentClass,REVISED,,rc
StoengTreng_ProvinceCambodia,StoengTreng-ProvinceCambodia,Q10859501,owl:equivalentClass,REVISED,,rc
StomachFlu,Gastroenteritis,Q156103,owl:equivalentClass,REVISED,,rc
Stomatopoda,MantisShrimp,Q334855,owl:equivalentClass,REVISED,,rc
Stonefly,Plecoptera,Q203547,owl:equivalentClass,REVISED,,rc
Stonehenge_Place,Stonehenge-Place,Q39671,owl:equivalentClass,REVISED,,rc
Stool_PieceOfFurniture,Stool-PieceOfFurniture,Q33163,owl:equivalentClass,REVISED,,rc
Stop_Consonant,Stop-Consonant,Q51597,owl:equivalentClass,REVISED,,rc
StoreDepartment,DepartmentStore,Q216107,owl:equivalentClass,REVISED,,rc
StPaulsCathedral_London,StPaulsCathedral-London,Q2576524,owl:equivalentClass,REVISED,,rc
StramenopilesBLO,Heterokont,Q461622,owl:equivalentClass,REVISED,,rc
Strand,Beach,Q40080,owl:equivalentClass,REVISED,,rc
Strange_nosedChameleon,Strange-nosedChameleon,Q3012444,owl:equivalentClass,REVISED,,rc
Strap,CarryStrap,Q3217573,owl:equivalentClass,REVISED,,rc
StrategicTarget,StrategicBombing,Q841418,owl:equivalentClass,REVISED,,rc
Stratopause_PlanetEarth,Stratopause-PlanetEarth,Q205397,owl:equivalentClass,REVISED,,rc
Stratosphere_PlanetEarth,Stratosphere-PlanetEarth,Q108376,owl:equivalentClass,REVISED,,rc
Streak_breastedWoodpecker,Streak-breastedWoodpecker,Q152342,owl:equivalentClass,REVISED,,rc
Streak_throatedWoodpecker,Streak-throatedWoodpecker,Q1272465,owl:equivalentClass,REVISED,,rc
StreamMouth,RiverMouth,Q1233637,owl:equivalentClass,REVISED,,rc
Street_Generic,Street-Generic,Q79007,owl:equivalentClass,REVISED,,rc
Street_NamedSecurity,Street-NamedSecurity,Q7623027,owl:equivalentClass,REVISED,,rc
Street_Private,Street-Private,Q703941,owl:equivalentClass,REVISED,,rc
Street_Urban,Street-Urban,Q83620,owl:equivalentClass,REVISED,,rc
StreetWalking_Prostitution,StreetWalking-Prostitution,Q1274227,owl:equivalentClass,REVISED,,rc
StrengthConditioning,StrengthTraining,Q12834857,owl:equivalentClass,REVISED,,rc
Strigidae,TrueOwl,Q26012,owl:equivalentClass,REVISED,,rc
Strigiformes,Owl,Q25222,owl:equivalentClass,REVISED,,rc
StringQuartet_MusicGroup,StringQuartet-MusicGroup,Q207338,owl:equivalentClass,REVISED,,rc
Stripe_breastedWoodpecker,Stripe-breastedWoodpecker,Q1273646,owl:equivalentClass,REVISED,,rc
Stripe_cheekedWoodpecker,Stripe-cheekedWoodpecker,Q915876,owl:equivalentClass,REVISED,,rc
Stripe_neckedMongoose,Stripe-neckedMongoose,Q735968,owl:equivalentClass,REVISED,,rc
StripedHogNosedSkunk,StripedHog-nosedSkunk,Q688635,owl:equivalentClass,REVISED,,rc
Stroke_PhysiologicalCondition,Stroke-PhysiologicalCondition,Q12202,owl:equivalentClass,REVISED,,rc
Stromboli_Volcano,Stromboli-Volcano,Q131148,owl:equivalentClass,REVISED,,rc
StrongGreenishBlue_Color,StrongGreenishBlue-Color,Q1078214,owl:equivalentClass,REVISED,,rc
StrongPurplishRed_Color,MaroonColor,Q25393814,owl:equivalentClass,REVISED,,rc
StrongReddishOrange_Color,StrongReddishOrange-Color,Q408757,owl:equivalentClass,REVISED,,rc
Structuralism_Biology,Structuralism-Biology,Q7625073,owl:equivalentClass,REVISED,,rc
StructuredInformationSource,MarkupLanguage,Q37045,owl:equivalentClass,REVISED,,rc
Studying,StudySkill,Q1899632,owl:equivalentClass,REVISED,,rc
StuffedAnimal,StuffedToy,Q682582,owl:equivalentClass,REVISED,,rc
Stuttering,Stuttering-PhysiologicalConditionType,Q186676,owl:equivalentClass,REVISED,,rc
StVincent_classBattleship,StVincent-classBattleship,Q932417,owl:equivalentClass,REVISED,,rc
Style_FlowerPart,Style-FlowerPart,Q1546595,owl:equivalentClass,REVISED,,rc
Stylus_WritingImplement,Stylus-WritingImplement,Q2647209,owl:equivalentClass,REVISED,,rc
Su_22_Bomber,Su-22-Bomber,Q183146,owl:equivalentClass,REVISED,,rc
Su_24_Bomber,Su-24-Bomber,Q210413,owl:equivalentClass,REVISED,,rc
Subdistrict_China,Subdistrict-China,Q986065,owl:equivalentClass,REVISED,,rc
Subdistrict_GermanDemocraticRepublic,Subdistrict-GermanDemocraticRepublic,Q15849374,owl:equivalentClass,REVISED,,rc
Subdistrict_Iraq,Subdistrict-Iraq,Q12249052,owl:equivalentClass,REVISED,,rc
