s,p,o
rc:Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLQ
rc:Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLX
rc:Cannery_Factory,owl:equivalentClass,http://www.geonames.org/ontology#S.MFGC
rc:Canyon,kko:superClassOf,http://www.geonames.org/ontology#T.CNYN
rc:Canyon,kko:superClassOf,http://www.geonames.org/ontology#U.CNSU
rc:Canyon,kko:superClassOf,http://www.geonames.org/ontology#U.CNYU
rc:Cape_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.CAPE
rc:CapitalCityOfRegion,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLC
rc:CaravanRoute,owl:equivalentClass,http://www.geonames.org/ontology#R.RTE
rc:Casino,owl:equivalentClass,http://www.geonames.org/ontology#S.CSNO
rc:Castle,owl:equivalentClass,http://www.geonames.org/ontology#S.CSTL
rc:CattleDippingTank,owl:equivalentClass,http://www.geonames.org/ontology#S.TNKD
rc:Causeway,kko:superClassOf,http://www.geonames.org/ontology#R.CSWY
rc:Causeway,kko:superClassOf,http://www.geonames.org/ontology#R.CSWYQ
rc:Cave,owl:equivalentClass,http://www.geonames.org/ontology#S.CAVE
rc:CaveWithMultiplePortalsToSurface,owl:equivalentClass,http://www.geonames.org/ontology#R.TNLN
rc:Cavity_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.HOLU
rc:Channel_DeeperWaterwayPart,owl:equivalentClass,http://www.geonames.org/ontology#H.CHNM
rc:Channel_Lake,owl:equivalentClass,http://www.geonames.org/ontology#H.CHNL
rc:Channel_Narrows,owl:equivalentClass,http://www.geonames.org/ontology#H.NRWS
rc:Channel_WaterPath,owl:equivalentClass,http://www.geonames.org/ontology#H.CHN
rc:Church_Building,owl:equivalentClass,http://www.geonames.org/ontology#S.CH
rc:Cirque,kko:superClassOf,http://www.geonames.org/ontology#T.CRQ
rc:Cirque,kko:superClassOf,http://www.geonames.org/ontology#T.CRQS
rc:Cleft,owl:equivalentClass,http://www.geonames.org/ontology#T.CFT
rc:Cliff,owl:equivalentClass,http://www.geonames.org/ontology#T.CLF
rc:CoalField,owl:equivalentClass,http://www.geonames.org/ontology#L.COLF
rc:CoastGuardStation,owl:equivalentClass,http://www.geonames.org/ontology#S.STNC
rc:CoastalRegion,owl:equivalentClass,http://www.geonames.org/ontology#L.CST
rc:Colony_GeopoliticalEntity,owl:equivalentClass,http://www.geonames.org/ontology#L.AGRC
rc:CommunicationsFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.COMC
rc:CommunityCenter,owl:equivalentClass,http://www.geonames.org/ontology#S.CTRCM
rc:ConcessionArea,owl:equivalentClass,http://www.geonames.org/ontology#L.CNS
rc:ConfluenceOfStreams,owl:equivalentClass,http://www.geonames.org/ontology#H.CNFL
rc:Continent,owl:equivalentClass,http://www.geonames.org/ontology#L.CONT
rc:ContinentalRise_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.CRSU
rc:Convent_Residence,owl:equivalentClass,http://www.geonames.org/ontology#S.CVNT
rc:CopperRefinery,owl:equivalentClass,http://www.geonames.org/ontology#S.MFGCU
rc:CoralReef,owl:equivalentClass,http://www.geonames.org/ontology#H.RFC
rc:Cordillera_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.CDAU
rc:Corral,owl:equivalentClass,http://www.geonames.org/ontology#S.CRRL
rc:Country,owl:equivalentClass,http://www.geonames.org/ontology#A.PCLI
rc:Country,owl:equivalentClass,http://www.geonames.org/ontology#A.PCLIX
rc:CountryCapital,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLA
rc:CountySeat,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLA3
rc:Courthouse,owl:equivalentClass,http://www.geonames.org/ontology#S.CTHSE
rc:Cove,owl:equivalentClass,http://www.geonames.org/ontology#H.COVE
rc:CraterBasin,owl:equivalentClass,http://www.geonames.org/ontology#T.CRTR
rc:CraterLake,owl:equivalentClass,http://www.geonames.org/5721419
rc:Crevice_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.FSR
rc:Cuesta,owl:equivalentClass,http://www.geonames.org/ontology#T.CUET
rc:CustomsCheckpoint,owl:equivalentClass,http://www.geonames.org/ontology#S.PSTC
rc:CustomsHouse,owl:equivalentClass,http://www.geonames.org/ontology#S.CSTM
rc:Cutoff,owl:equivalentClass,http://www.geonames.org/ontology#H.CUTF
rc:DairyEstablishment,owl:equivalentClass,http://www.geonames.org/ontology#S.DARY
rc:Dam,kko:superClassOf,http://www.geonames.org/ontology#S.DAM
rc:Dam,kko:superClassOf,http://www.geonames.org/ontology#S.DAMQ
rc:Deep_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.DEPU
rc:Delta,owl:equivalentClass,http://www.geonames.org/ontology#T.DLTA
rc:DemilitarizedZone,owl:equivalentClass,http://www.geonames.org/ontology#A.ZNB
rc:Depression_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.DPR
rc:Desert,kko:superClassOf,http://www.geonames.org/ontology#T.HMDA
rc:Desert,kko:superClassOf,http://www.geonames.org/ontology#T.REG
rc:DesertEcosystem,owl:equivalentClass,http://www.geonames.org/ontology#T.DSRT
rc:Dike,owl:equivalentClass,http://www.geonames.org/ontology#S.DIKE
rc:DiplomaticFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.DIP
rc:Distributary,owl:equivalentClass,http://www.geonames.org/ontology#H.STMD
rc:Ditch,kko:superClassOf,http://www.geonames.org/ontology#H.DTCH
rc:Ditch,kko:superClassOf,http://www.geonames.org/ontology#H.DTCHM
rc:Dock,kko:superClassOf,http://www.geonames.org/ontology#H.DCK
rc:Dock,kko:superClassOf,http://www.geonames.org/ontology#S.WHRF
rc:DockingBasin,owl:equivalentClass,http://www.geonames.org/ontology#H.DCKB
rc:Dormitory,owl:equivalentClass,http://www.geonames.org/ontology#S.BRKS
rc:DrainageArea,owl:equivalentClass,http://www.geonames.org/ontology#L.BSND
rc:DrainageCanal,owl:equivalentClass,http://www.geonames.org/ontology#H.CNLD
rc:DrainageDitch,owl:equivalentClass,http://www.geonames.org/ontology#H.DTCHD
rc:DrainageDivide,owl:equivalentClass,http://www.geonames.org/ontology#T.DVD
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WAD
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADB
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADJ
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADM
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADS
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADX
rc:DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#T.SBED
rc:DryDock,owl:equivalentClass,http://www.geonames.org/ontology#S.DCKD
rc:Dune,owl:equivalentClass,http://www.geonames.org/ontology#T.DUNE
rc:EgyptianSphinx,owl:equivalentClass,http://www.geonames.org/362903
rc:Enclave,owl:equivalentClass,http://www.geonames.org/ontology#A.ZN
rc:Escarpment,owl:equivalentClass,http://www.geonames.org/ontology#T.SCRP
rc:Escarpment_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.ESCU
rc:Estate_LegalEntity,kko:superClassOf,http://www.geonames.org/ontology#S.EST
rc:Estate_LegalEntity,kko:superClassOf,http://www.geonames.org/ontology#S.ESTX
rc:Estuary,owl:equivalentClass,http://www.geonames.org/ontology#H.ESTY
rc:ExperimentStation,owl:equivalentClass,http://www.geonames.org/ontology#S.STNE
rc:ExtractionTerrainFeatureType,owl:equivalentClass,http://www.geonames.org/ontology#L.MNA
rc:Facility_Agricultural,owl:equivalentClass,http://www.geonames.org/ontology#S.AGRF
rc:Facility_Construct,owl:equivalentClass,http://www.geonames.org/ontology#S.FCL
rc:Facility_Government_US,owl:equivalentClass,http://www.geonames.org/ontology#S.USGE
rc:FactoryBuildingComplex,kko:superClassOf,http://www.geonames.org/ontology#S.MFG
rc:FactoryBuildingComplex,kko:superClassOf,http://www.geonames.org/ontology#S.MFGQ
rc:Farmhouse,owl:equivalentClass,http://www.geonames.org/ontology#S.FRMT
rc:Ferry,owl:equivalentClass,http://www.geonames.org/ontology#S.FY
rc:FerrySlip,owl:equivalentClass,http://www.geonames.org/ontology#S.LDNG
rc:FertilizerProductionFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.MFGPH
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#L.FLD
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#S.FRM
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#S.FRMQ
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#S.FRMS
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVC
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVO
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVP
rc:Field_Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVPN
rc:FifthOrderAdministrativeDivision,owl:equivalentClass,http://www.geonames.org/ontology#A.ADM5
rc:FirstOrderAdministrativeDivision,owl:equivalentClass,http://www.geonames.org/ontology#A.ADM1
rc:FirstOrderAdministrativeDivision_Historical,owl:equivalentClass,http://www.geonames.org/ontology#A.ADM1H
rc:FishFarm,owl:equivalentClass,http://www.geonames.org/ontology#H.PNDSF
rc:FishingRegion,owl:equivalentClass,http://www.geonames.org/ontology#H.FISH
