s,p,o
rc:Bill_PaymentRequest,kko:superClassOf,http://schema.org/Invoice
rc:BlogPosting,kko:superClassOf,http://schema.org/LiveBlogPosting
rc:BlogPosting,owl:equivalentClass,http://schema.org/BlogPosting
rc:BloodTest,owl:equivalentClass,http://schema.org/BloodTest
rc:BoardingATransportationDevice,kko:superClassOf,http://schema.org/BoardingPolicyType
rc:BodyOfWater_Area,owl:equivalentClass,http://schema.org/BodyOfWater
rc:BodyOfWater_POI,owl:equivalentClass,http://schema.org/BodyOfWater
rc:BoneStructure,rdfs:subClassOf,http://schema.org/Bone
rc:BookCopy,kko:superClassOf,http://schema.org/BookFormatType
rc:BookGeneric,owl:equivalentClass,http://schema.org/Book
rc:BookSeries,owl:equivalentClass,http://schema.org/BookSeries
rc:Bookstore,owl:equivalentClass,http://schema.org/BookStore
rc:BorrowingSomething,owl:equivalentClass,http://schema.org/BorrowAction
rc:BowlingAlley,owl:equivalentClass,http://schema.org/BowlingAlley
rc:Brain,kko:superClassOf,http://schema.org/BrainStructure
rc:Brewery,owl:equivalentClass,http://schema.org/Brewery
rc:Bridge,owl:equivalentClass,http://schema.org/Bridge
rc:BroadcastSeriesProduct,rdfs:subClassOf,http://schema.org/Series
rc:Broker,owl:equivalentClass,http://schema.org/Broker
rc:BuddhistTemple,owl:equivalentClass,http://schema.org/BuddhistTemple
rc:BuildingContractor_Organization,kko:superClassOf,http://schema.org/HomeAndConstructionBusiness
rc:BusStation,owl:equivalentClass,http://schema.org/BusStation
rc:BusStop,owl:equivalentClass,http://schema.org/BusStop
rc:Bus_RoadVehicle,rdfs:subClassOf,http://schema.org/BusOrCoach
rc:Business,kko:superClassOf,http://schema.org/LocalBusiness
rc:Business,kko:superClassOf,http://schema.org/MedicalBusiness
rc:BusinessEvent,kko:superClassOf,http://schema.org/BusinessFunction
rc:BusinessEvent,owl:equivalentClass,http://schema.org/BusinessEvent
rc:BusinessRelatedThing,kko:superClassOf,http://schema.org/BusinessEntityType
rc:BuyingActivity,owl:equivalentClass,http://schema.org/BuyAction
rc:CalendarSeasonType,kko:superClassOf,http://schema.org/RadioSeason
rc:CalendarSeasonType,owl:equivalentClass,http://schema.org/Season
rc:Campground,owl:equivalentClass,http://schema.org/Campground
rc:Campsite,kko:superClassOf,http://schema.org/CampingPitch
rc:Canal,owl:equivalentClass,http://schema.org/Canal
rc:Canceling_Declaring_Evaluating,kko:superClassOf,http://schema.org/CancelAction
rc:CarWashShop,owl:equivalentClass,http://schema.org/AutoWash
rc:Casino_Organization,owl:equivalentClass,http://schema.org/Casino
rc:Catalog,kko:superClassOf,http://schema.org/DataCatalog
rc:Catalog,kko:superClassOf,http://schema.org/OfferCatalog
rc:CatholicChurch,owl:equivalentClass,http://schema.org/CatholicChurch
rc:Chapter_PCW,kko:superClassOf,http://schema.org/Chapter
rc:CharitableDonation,rdfs:subClassOf,http://schema.org/DonateAction
rc:Check_in,owl:equivalentClass,http://schema.org/CheckInAction
rc:Checking_Evaluating,kko:superClassOf,http://schema.org/CheckAction
rc:CheckoutPage,owl:equivalentClass,http://schema.org/CheckoutPage
rc:ChildrensEvent,owl:equivalentClass,http://schema.org/ChildrensEvent
rc:Chiropractic,owl:equivalentClass,http://schema.org/Chiropractic
rc:Church_Building,owl:equivalentClass,http://schema.org/Church
