id,object,relatesTo
Cross_TortureDevice,CruciformObject,relatesToShapes
Crucifix_ChristianSymbol,CruciformObject,relatesToShapes
Cube,RectangularParallelepiped,relatesToShapes
Cuisine,CulturalThing,relatesToSociety
CulturalThing,TemporallyExistingThing,relatesToConcepts
CustomarySystemOfLinks_Comm,CustomarySystemOfLinks,relatesToShapes
CutFlower,IndependentThing,relatesToConcepts
CuttingDevice,DangerousThing,relatesToConcepts
Cylinder,RoundObject,relatesToShapes
CytoplasmLayer,Layer,relatesToForms
DiploidCell,Protozoan,relatesToLivingThings
Diseases,InfectiousAgents,relatesToLivingThings
DomesticLife,LifeSkills,relatesToConcepts
Dragon,Reptile,relatesToAnimals
DragonTeeth,LineOfObjects,relatesToConcepts
DriverDistraction,DangerousEvent,relatesToConcepts
Dying,BiologicalAttribute,relatesToAdjunctualAttributes
EarthOrbit,OrbitalPathClass,relatesToShapes
EcologicalRegion,Biogeography,relatesToKnowledgeDomains
EcologicalRegion,Environment_Generic,relatesToShapes
EconomicalQuantity,EconomicAttribute,relatesToContextualAttributes
ElectricPower,PublicUtilityService,relatesToTertiarySectorServices
Electricity,EnergyStuff,relatesToConcepts
ElementaryParticle,TemporalThing,relatesToConcepts
Ellipse,RoundObject,relatesToShapes
Ellipsoid,RoundObject,relatesToShapes
EllipticalRegion,RoundObject,relatesToShapes
Emergency,DangerousSituation,relatesToConcepts
Emergency,EndangeringSomething,relatesToActionTypes
EmmyAward,AwardAttribute,relatesToAdjunctualAttributes
EnergyPhenomena,EnergyStuff,relatesToConcepts
EnergyProduction,EnergyStuff,relatesToConcepts
EnergySource,EnergyStuff,relatesToConcepts
EnergySource,Resource,relatesToConcepts
Explosive,DangerousThing,relatesToConcepts
ExplosiveDevice,DangerousThing,relatesToConcepts
ExtremeThermalSituation,DangerousSituation,relatesToConcepts
FemaleHuman,PersonalQuantity,relatesToForms
Fiberglass,Fibrous,relatesToForms
FictionalCharacter,TemporallyExistingThing,relatesToConcepts
Fight_Physical,DangerousActivity,relatesToConcepts
Firefighting,DangerousActivity,relatesToConcepts
FloodedArea,DangerousThing,relatesToConcepts
FlowerArrangement,Arrangement,relatesToConcepts
FoldingTable,Collapsible,relatesToForms
FoodGroup,ConventionalClassificationType,relatesToCopulativeRelations
Fork_Topographical,BranchingJunction,relatesToConcepts
Freeware,FreeThing,relatesToConcepts
FungalBioAgent,LivingBiologicalAgent,relatesToLivingThings
Fungus,Fungus_Generic,relatesToKnowledgeDomains
Fungus,Heterotroph,relatesToLivingThings
FungusBLO,BiologicalLivingObject,relatesToLivingThings
FungusBLO,KingdomFungi,relatesToLivingThings
GamblingBettingEstablishment,EntertainmentService,relatesToTertiarySectorServices
GenreTypes,Classification,relatesToContextualAttributes
GeographicalQuantity,GeographicAttribute,relatesToContextualAttributes
GeologicTimeScale,Prehistoric,relatesToConcepts
GeopoliticalEntity,GovernmentRelatedEntity,relatesToAgents
Gift,TemporallyExistingThing,relatesToConcepts
Glacier,Layer,relatesToForms
GlobalNaturalEnvironment,Environment_Generic,relatesToShapes
Groundwater,WaterResources,relatesToConcepts
Group,CollectionType,relatesToCopulativeRelations
Hedge,RowOfObjects,relatesToConcepts
HeritageSiteInBritishColumbia,BritishColumbia_CanadianProvince,relatesToGeopolitical
HistoricFigure,HistoricTemporalThing,relatesToConcepts
HistoricPeriod,HistoricTemporalThing,relatesToConcepts
HistoricalMarker,HistoricTemporalThing,relatesToConcepts
HistoricalSite,HistoricTemporalThing,relatesToConcepts
HistoricallySignificantEvent,HistoricTemporalThing,relatesToConcepts
HomoSapiens_asAnimal,HomoSapiens_asPerson,relatesToPersons
Hoop,RoundObject,relatesToShapes
Human,HomoSapiens_asAnimal,relatesToAnimals
HumanLanguage,TemporallyExistingThing,relatesToConcepts
HumanOccupationConstruct,HumanlyOccupiedSpatialObject,relatesToLocationPlace
HumanResidenceArea,HumanlyOccupiedSpatialObject,relatesToLocationPlace
HydrocarbonReservoir,Layer,relatesToForms
Hydrology,Water,relatesToNaturalSubstances
IceFloe,WaterResources,relatesToConcepts
IllegalDrugActivity,DangerousActivity,relatesToConcepts
Immunology,ImmuneSystem,relatesToAnimals
Immunotoxin,ImmuneSystem,relatesToAnimals
IncurringAnInjury,EventCausingDistressOrPain,relatesToConcepts
IndependentOrganization,IndependentThing,relatesToConcepts
IndexNumber,UnitOfMeasureConcept,relatesToConcepts
Individualism,IndependentThing,relatesToConcepts
IndustrialSupply,Supplies,relatesToCopulativeRelations
InformationBearingWavePropagation,InformationTransferPhysicalEvent,relatesToInformation
InorganicCompound,MolecularStuff,relatesToManifestations
InstantaneousEvent,TemporallyContinuousThing,relatesToConcepts
IntrinsicStateChangeEvent,IntrinsicStateChangeAttribute,relatesToAdjunctualAttributes
IvoryWorkOfArt,Ivory,relatesToOrganicMatter
Jellyfish,Radiata,relatesToShapes
KeyboardLayout,Arrangement,relatesToConcepts
KosherFood,ThingConformingToKosherDietaryLaws,relatesToArtifacts
LaboratorySupply,Supplies,relatesToCopulativeRelations
LandscapeType,CartographicFeatureType,relatesToKnowledgeDomains
Language,Languages,relatesToInformation
LawnChair_PieceOfFurniture,Collapsible,relatesToForms
LearnedActivityType,Learning,relatesToLearningProcesses
LibraryOfCongressClassification,USLibraryOfCongress_Organization,relatesToOrganizations
LifeThreateningCondition,DangerousSituation,relatesToConcepts
LinkageSystem,CustomarySystemOfLinks,relatesToShapes
LongitudeLine,Semiellipse,relatesToShapes
LowEarthOrbit,OrbitalPathClass,relatesToShapes
MaleHuman,PersonalQuantity,relatesToForms
ManMadeHazard,DangerousSituation,relatesToConcepts
Marchantiophyta,Spore_PlantLifeStage,relatesToLivingThings
MarineAnimal,MarineOrganism,relatesToLivingThings
Measurement,MeasuringSomething,relatesToActionTypes
MeasuringDevice,UnitOfMeasureConcept,relatesToConcepts
MeasuringSomething,UnitOfMeasureConcept,relatesToConcepts
MediaProduct,Media,relatesToInformation
MediaProduct,TemporallyExistingThing,relatesToConcepts
MedicalProcedureOrEvent,Situation_Localized,relatesToSituationTypes
MedicalSupply,Supplies,relatesToCopulativeRelations
MedicalTreatmentEvent,TreatmentProcedure,relatesToEventTypes
MediumEarthOrbit,OrbitalPathClass,relatesToShapes
MentalQuantity,MentalAttribute,relatesToIntrinsicAttributes
Microbiology,Virus,relatesToLivingThings
Microorganism,MicroscopicScaleObject,relatesToShapes
Mineral,Mineralogy,relatesToKnowledgeDomains
MineralPile,Pile,relatesToConcepts
Mixture,Mixture_Generic,relatesToForms
ModernMilitaryOrganization,MilitaryOrganizationConcept,relatesToConcepts
Monarchy_Topics,Monarchy,relatesToOrganizations
Moxibustion,Alternative,relatesToConcepts
Music,SoundInformationBearingThing,relatesToNaturalPhenomena
MusicAward,AwardAttribute,relatesToAdjunctualAttributes
MusicLooping,Music,relatesToAudioInfo
MusicTypeByGenre,ConventionalClassificationType,relatesToCopulativeRelations
Nanotube,MicroscopicScaleObject,relatesToShapes
Narrative,TemporalStuffType,relatesToConcepts
NationalTreasure,HistoricTemporalThing,relatesToConcepts
NaturalHazard,DangerousSituation,relatesToConcepts
NaturalMaterial,Nature,relatesToConcepts
NaturalResource,Environment_Generic,relatesToShapes
NaturalResourceType,TemporalStuffType,relatesToConcepts
NeurologicalDisorder,Neurology,relatesToKnowledgeDomains
NeurologicalDisorder,Neuropsychology,relatesToKnowledgeDomains
NonAspectualQuantity,NonAspectualAttribute,relatesToIntrinsicAttributes
ObjectTypes,TemporalStuffType,relatesToConcepts
Omnivore,Heterotroph,relatesToLivingThings
OrganicChemicalObject,ChemicalObject,relatesToChemistry
OrganicCompound,MolecularStuff,relatesToManifestations
OrganicCompound,OrganicMaterial,relatesToOrganicMatter
Organism,Biology,relatesToKnowledgeDomains
Organism,Life,relatesToLivingThings
OrganismPart,BiologicalParts,relatesToDirectRelations
OrganismPart,Parts,relatesToDirectRelations
OrganismPart,PhysicalPartOfObject,relatesToManifestations
OrganismTypes,ConventionalClassificationType,relatesToCopulativeRelations
OutdoorLocation,Outdoors,relatesToLocationPlace
Paint,Paint_Generic,relatesToForms
Parts,Mereology,relatesToKnowledgeDomains
Parts_Topic,Parts,relatesToDirectRelations
PathArtifactSystem,CustomarySystemOfLinks,relatesToShapes
PavedPath,Paved,relatesToForms
PersistenceDistribution,QualificationAttribute,relatesToIntrinsicAttributes
Person,Sentient,relatesToManifestations
PersonTypeByEthnicity,Peoples,relatesToSociety
PersonTypeByMaritalStatus,ExtrinsicAspect,relatesToContextualAttributes
PersonTypeByNationality,Peoples,relatesToSociety
PersonTypeByOccupation,ConventionalClassificationType,relatesToCopulativeRelations
PersonTypes,ConventionalClassificationType,relatesToCopulativeRelations
PersonTypes,PersonalQuantity,relatesToForms
PersonWithOccupation,BusinessRelatedThing,relatesToEconomicSystems
PersonalQuantity,PersonalAttribute,relatesToIntrinsicAttributes
Personhood,IndependentThing,relatesToConcepts
PhysicalContactEvent,PhysicalContactSituation,relatesToSituationTypes
PhysicalCreationOrDestructionEvent,PhysicalChangeAttribute,relatesToAdjunctualAttributes
PhysicalPartOfObject,Parts,relatesToDirectRelations
PhysicalPartOfObject,PhysicalParts,relatesToDirectRelations
PhysicalTransformationEvent,PhysicalChangeAttribute,relatesToAdjunctualAttributes
PhysiologicalCondition,AbnormalSystemCondition,relatesToSituationTypes
PhysiologicalCondition,PhysicalSituation,relatesToSituationTypes
Pier,LinearObject_Tangible,relatesToShapes
PipingSystem_Generic,CustomarySystemOfLinks,relatesToShapes
PlanetCrust,OutdoorLocation,relatesToPlaces
PlantBLO,BiologicalLivingObject,relatesToLivingThings
PlantBLO,KingdomPlantae,relatesToLivingThings
Plantae,MulticellularOrganism,relatesToLivingThings
Plateau,SurfaceLayer_TopSurface,relatesToShapes
Platform,SupportSurface,relatesToShapes
PolymerMolecule,MolecularStuff,relatesToManifestations
PowerSaw,DangerousThing,relatesToConcepts
PreciousMetal,Metal,relatesToNaturalSubstances
PreparedFood,FoodAndDrinkPreparation,relatesToActionTypes
PreventingFromHappening,InhibitionSituation,relatesToSituationTypes
Prion,MicroscopicScaleObject,relatesToShapes
Prize,AwardAttribute,relatesToAdjunctualAttributes
