child-id,parent-id
SeparatistOrganization,Agent-NonGeographical
ServiceOrganization,Agent-NonGeographical
Society-Organization,Agent-NonGeographical
SpeciallyCharteredInstitution,Agent-NonGeographical
StorageOrganization,Agent-NonGeographical
Subsidiary,Agent-NonGeographical
Superhero,Agent-NonGeographical
TechnologyOrganization,Agent-NonGeographical
TerroristTrainingCamp-Organization,Agent-NonGeographical
TransportationOrganization,Agent-NonGeographical
TravelOrganization,Agent-NonGeographical
Tribunal,Agent-NonGeographical
Trust-LegalEntity,Agent-NonGeographical
Whabbist,Agent-NonGeographical
AmyotrophicLateralSclerosis,AilmentCondition
AneurysmOrDissection,AilmentCondition
AnkylosingSpondylitis,AilmentCondition
Arthritis,AilmentCondition
Asphyxiation,AilmentCondition
Autism,AilmentCondition
BellsPalsy,AilmentCondition
Bleeding-TheCondition,AilmentCondition
BrainTumorCondition,AilmentCondition
Cataract-Ailment,AilmentCondition
ChronicFatigueSyndrome,AilmentCondition
Coma,AilmentCondition
CrohnsDisease,AilmentCondition
CysticFibrosis,AilmentCondition
DiabeticRetinopathy,AilmentCondition
Endometriosis,AilmentCondition
Fibromyalgia,AilmentCondition
Gangrene,AilmentCondition
GeneticDisorder,AilmentCondition
HeartDisease-Other,AilmentCondition
HematologicDisorder,AilmentCondition
Hemophilia,AilmentCondition
Hemorrhaging-TheCondition,AilmentCondition
HuntingtonsDisease,AilmentCondition
Hypertension,AilmentCondition
InflammatoryBowelDisease,AilmentCondition
IrritableBowelSyndrome,AilmentCondition
Lupus,AilmentCondition
MultipleSclerosis,AilmentCondition
MuscularDystrophy,AilmentCondition
NeurologicalDisorder,AilmentCondition
Pain-PhysiologicalCondition,AilmentCondition
Poisoning,AilmentCondition
PrionDisease,AilmentCondition
Seizure-AilmentCondition,AilmentCondition
Septicemia,AilmentCondition
Shock-PhysiologicalCondition,AilmentCondition
SleepDeprivation,AilmentCondition
StomachUlcer,AilmentCondition
HerdAnimal,AirBreathingVertebrate
Airbus,Airplane
CessnaAirplane,Airplane
DRDOAircraft,Airplane
FiatAircraft,Airplane
HondaAircraft,Airplane
MitsubishiAircraft,Airplane
PiperAirplane,Airplane
RollsRoyceAircraft,Airplane
SaabAircraft,Airplane
MilitaryAirfield,Airport-Physical
AEASilverDart,AirTransportationDevice
AirbusA320Family,AirTransportationDevice
AirbusA350,AirTransportationDevice
AirbusA380,AirTransportationDevice
AircraftMaintenance,AirTransportationDevice
AircraftOperations,AirTransportationDevice
AircraftTypeByBrand,AirTransportationDevice
ATR42,AirTransportationDevice
ATR72,AirTransportationDevice
AvroLancaster,AirTransportationDevice
B-2-Bomber,AirTransportationDevice
BAEHawk,AirTransportationDevice
BellX-1,AirTransportationDevice
Boeing747-8,AirTransportationDevice
Boeing777,AirTransportationDevice
Boeing787Dreamliner,AirTransportationDevice
BoeingAH-64Apache,AirTransportationDevice
BoeingB-17FlyingFortress,AirTransportationDevice
BoeingC-17GlobemasterIII,AirTransportationDevice
BoeingCH-47Chinook,AirTransportationDevice
BoeingSikorskyRAH-66Comanche,AirTransportationDevice
BoeingX-37,AirTransportationDevice
CargoAirplane,AirTransportationDevice
CASAC-212Aviocar,AirTransportationDevice
CommercialAircraft,AirTransportationDevice
ConvairB-36,AirTransportationDevice
DassaultMirage2000,AirTransportationDevice
DassaultRafale,AirTransportationDevice
DeHavillandCanadaDHC-3Otter,AirTransportationDevice
DeHavillandComet,AirTransportationDevice
DouglasDC-3,AirTransportationDevice
EmbraerE-Jets,AirTransportationDevice
EurocopterAS350,AirTransportationDevice
EurocopterTiger,AirTransportationDevice
F-18-Fighter,AirTransportationDevice
FighterPlane-F15,AirTransportationDevice
FighterPlane-F16,AirTransportationDevice
FixedWingAircraft,AirTransportationDevice
GeneralAtomicsMQ-1Predator,AirTransportationDevice
HawkerSiddeleyHarrier,AirTransportationDevice
Helicopter-HH60G,AirTransportationDevice
JF-17Thunder,AirTransportationDevice
Learjet40,AirTransportationDevice
LighterThanAirCraft,AirTransportationDevice
LockheedMartinF-22Raptor,AirTransportationDevice
LockheedMartinF-35LightningII,AirTransportationDevice
LockheedMartinRQ-170Sentinel,AirTransportationDevice
LockheedSR-71Blackbird,AirTransportationDevice
LZ127GrafZeppelin,AirTransportationDevice
McDonnellDouglasF-15EStrikeEagle,AirTransportationDevice
McDonnellDouglasFA-18Hornet,AirTransportationDevice
McDonnellXF-85Goblin,AirTransportationDevice
MiG-23-Fighter,AirTransportationDevice
MilitaryAircraft,AirTransportationDevice
MilMi-24,AirTransportationDevice
Mirage-F1-Fighter,AirTransportationDevice
NorthropGrummanX-47B,AirTransportationDevice
PassengerAircraft,AirTransportationDevice
SB2CHelldiver,AirTransportationDevice
SikorskyH-5,AirTransportationDevice
SokoG-2,AirTransportationDevice
SokoG-4SuperGaleb,AirTransportationDevice
SpaceShipOne,AirTransportationDevice
SukhoiPAKFA,AirTransportationDevice
SukhoiSuperjet100,AirTransportationDevice
SupermarineSpitfire,AirTransportationDevice
TupolevTu-134,AirTransportationDevice
TupolevTu-4,AirTransportationDevice
TupolevTu-95,AirTransportationDevice
V-22Osprey,AirTransportationDevice
XianMA60,AirTransportationDevice
YakovlevYak-40,AirTransportationDevice
YakovlevYak-42,AirTransportationDevice
Airplane,AirTransportationVehicle
SaturnCar,AmericanAutomobile
Cartridge,Ammunition
LargeCaliberCartridge,Ammunition
BronchialTube,AnatomicalVessel
AdultAnimal,Animal
Allosaurus,Animal
AmericanGoldfinch,Animal
Animal-HumanFoodSource,Animal
Annelida,Animal
Apatosaurus,Animal
Arapaima,Animal
Arctotherium,Animal
Armadillidiidae,Animal
Arthropod,Animal
AsexualBLO,Animal
AsianGiantHornet,Animal
AthleticPhysicalBuild,Animal
AustralianMagpie,Animal
AveragePhysicalBuild,Animal
Awake,Animal
Badger,Animal
Barreleye,Animal
Bear-Animal,Animal
BigfinReefSquid,Animal
Biped,Animal
BlackMamba-1,Animal
Blobfish,Animal
BrazilianWanderingSpider,Animal
BullShark,Animal
Cannibal,Animal
CaptiveAnimal,Animal
Channichthyidae,Animal
ChordataPhylum,Animal
Cicada,Animal
Coypu,Animal
CrouchingPosture,Animal
CurvaceousPhysicalBuild,Animal
Dik-dik,Animal
Dingo,Animal
EagleRay,Animal
Earthworm,Animal
Echinodermata,Animal
EgyptianCobra,Animal
EgyptianSphinx,Animal
Eurypterid,Animal
FatPhysicalBuild,Animal
FemaleAnimal,Animal
Firefly,Animal
FullyClothed,Animal
GambianPouchedRat,Animal
Gazelle,Animal
Giant,Animal
GiantGolden-crownedFlyingFox,Animal
GreatAuk,Animal
GreenlandShark,Animal
Griffin,Animal
HandstandPosture,Animal
Herbivore,Animal
Hermaphrodite,Animal
Hoatzin,Animal
Homeotherm,Animal
