child-id,parent-id
AgriculturalFacility,AgriculturalBuildingStructure
AquacultureFacility,AgriculturalBuildingStructure
Barn,AgriculturalBuildingStructure
BirdHouse,AgriculturalBuildingStructure
CarriageHouse,AgriculturalBuildingStructure
Cowshed,AgriculturalBuildingStructure
Doghouse,AgriculturalBuildingStructure
GrainElevator,AgriculturalBuildingStructure
Nest,AgriculturalBuildingStructure
Animal-HumanFoodSource,AgriculturalCommodity
CropPlant,AgriculturalCommodity
NonEdibleAnimalProduct,AgriculturalCommodity
NonEdiblePlantForestryProduct,AgriculturalCommodity
CommercialFarmFacility,AgriculturalFacility
Plantation,AgriculturalFacility
CottonGin,AgriculturalHarvestingMachinery
AerosolSprayer,AgriculturalImplement
AgriculturalPlantingMachinery,AgriculturalImplement
Baler,AgriculturalImplement
Composter,AgriculturalImplement
Disc-Agricultural,AgriculturalImplement
FarmingExcavator,AgriculturalImplement
FruitSorter,AgriculturalImplement
GardenFork,AgriculturalImplement
GardeningTool,AgriculturalImplement
GrindingMill,AgriculturalImplement
HammerMill,AgriculturalImplement
HedgeTrimmer,AgriculturalImplement
LawnMower,AgriculturalImplement
Mower,AgriculturalImplement
PostHoleDigger,AgriculturalImplement
Sickle,AgriculturalImplement
SodCutter,AgriculturalImplement
WaterSprinkler,AgriculturalImplement
Orchard,AgriculturalLand
Plantation,AgriculturalLand
Ranch,AgriculturalLand
AgriculturalImplement,AgriculturalMachinery
Cultivator,AgriculturalPlantingMachinery
Disk,AgriculturalPlantingMachinery
HoleDigger,AgriculturalPlantingMachinery
SeedGerminator,AgriculturalPlantingMachinery
Weeder,AgriculturalPlantingMachinery
Sawmill-ManufacturingFacility,AgriculturalProcessingMachinery
BirdFeeder,AgriculturalProduct
Culture-Bacterial,AgriculturalProduct
FishingNet,AgriculturalProduct
GardenHose,AgriculturalProduct
HorseTack,AgriculturalProduct
MilkingMachine,AgriculturalProduct
NaturalFiberCloth,AgriculturalProduct
StockTank,AgriculturalProduct
WaterSprinkler,AgriculturalProduct
CitrusProduction,AgriculturalProduction
CoffeeProduction,AgriculturalProduction
RiceProduction,AgriculturalProduction
SorghumProduction,AgriculturalProduction
SugarProduction,AgriculturalProduction
VanillaProduction,AgriculturalProduction
WheatProduction,AgriculturalProduction
Harrow,AgriculturalSoilMachinery
PlowAgriculturalImplement,AgriculturalSoilMachinery
RotaryTiller,AgriculturalSoilMachinery
JuteMill,AgriculturalSortingCleaningMachinery
GardenHose,AgriculturalSprayingDevice
Agroforestry,Agriculture
Aquaculture,Agriculture
GardeningSuppliesMarketCategory,AgricultureForestryGardenHandtool
GardeningTool,AgricultureForestryGardenHandtool
LawnAndGardenMarketCategory,AgricultureForestryGardenHandtool
Machete,AgricultureForestryGardenHandtool
OutdoorAccessoryMarketCategory,AgricultureForestryGardenHandtool
Rake,AgricultureForestryGardenHandtool
Shovel,AgricultureForestryGardenHandtool
WateringCan,AgricultureForestryGardenHandtool
DairyIndustry,AgricultureIndustry
WineIndustry,AgricultureIndustry
CommercialFarmOrganization,AgricultureOrganization
AcquiredDisorder,AilmentCondition
CongenitalDisorder,AilmentCondition
Stuttering-PhysiologicalConditionType,AilmentCondition
Vomiting,AilmentCondition
QinlingPanda,Ailuropoda
PressurizedAir,Air
GeosynchronousEarthOrbit,Airborne
AirbusA320Family,Airbus
AirbusA350,Airbus
AirTransportationDevice,Aircraft
Airplane,AircraftByType
CommercialAircraft,AircraftByType
FixedWingAircraft,AircraftByType
LighterThanAirCraft,AircraftByType
MilitaryAircraft,AircraftByType
PassengerAircraft,AircraftByType
Ultralight,AircraftByType
AircraftArrestingGear,AircraftComponent
AirplanePart,AircraftComponent
Parachute,AircraftEmergencySystem
Airbus,AircraftTypeByBrand
ATR42,AircraftTypeByBrand
ATR72,AircraftTypeByBrand
CessnaAirplane,AircraftTypeByBrand
DRDOAircraft,AircraftTypeByBrand
EmbraerE-Jets,AircraftTypeByBrand
Learjet40,AircraftTypeByBrand
PiperAirplane,AircraftTypeByBrand
AirDefenseWeapon,AirDefenseSystem
MilitaryAirfield,Airfield
AirTrafficServiceRoute,AirlineRoute
AircraftTypeByBrand,Airplane
CommercialAirliner,Airplane
AircraftEngine,AirplanePart
