rc,alt-labels
4-Aminopyridine,"4-aminopurine||Ampyra||ATC code N07XX07||ATCvet code QN07XX07||4-aminopyridine||Pimadin||Fampyra||Neurelan||Aminopyridines||Pyridine, 4-amino-||4-AP||Dalfampridine||4-pyridinamine||4-pyridylamine||Fampridine"
4-Chlorodehydromethyltestosterone,Turinabol||4-Chloromethandienone||Dehydrochloromethyltestosterone||Oral-Turinabol||Turanabol||C20H27ClO2||Dehydrochlormethyltestosterone||Oral Turinabol||4-Chlordehydromethyltestosterone||4-chlordehydromethyltestosterone
4-Dimethylaminopyridine,"Dimethylaminopyridine||4-dimethylaminopyridine||4-(dimethylamino)-pyridine||N,N-dimethyl-4-aminopyridin"
4-HydroxybenzoicAcid,4-hydroxybenzoic acid||P–hydroxybenzoic acid||PHBA||Hydroxy benzoic acid||P-hydroxy benzoic acid||4-hydroxybenzoate||P-Hydroxybenzoic acid||P-hydroxybenzoic acid||Para-hydroxybenzoic acid
4-Hydroxytestosterone,"4-hydroxytestosterone||4,17β-dihydroxy-4-androstene-3-one||Hydroxytestosterone"
4-MethoxybenzoicAcid,4-Methoxybenzoate||Benzoic acid||4-methoxy-||P-Anisic Acid||p-Methoxybenzoate
4-MethylbenzoicAcid,"2420-97-5 (Cadmium salt)||4-Methyl-Benzoic acid||4-methylbenzoic acid||4-Toluic acid||Benzoic acid,4-methyl-||Crithmic acid||p-Carboxytoluene||p-Methylbenzoic acid||p-Toluylic acid||para-Toluic acid||Toluate"
4-tert-Butylcatechol,Para Tertiary Butyl Catechol||4-t-butylpyrocatechol||4-tert-butylpyrocatechol||P-t-butylpyrocatechol||P-tert-butylcatechol||P-tert-butylpyrocatechol||Para-tert-butylcatechol||T-butyl catechol||Butylcatechol||Tert-Butylcatechol
6-Hydroxydopamine,"2,4,5-trihydroxyphenethylamine||5-(2-Aminoethyl)-1,2,4-benzenetriol||6-Hydroxy-Dopamine||6-hydroxydopamine||6-OHDA||hydroxydopamine||topamine"
Aardwolf,Geocyon||Proteles||Aardwolfs||Proteles cristata||Proteles Cristata||Proteles cristatus||Protelinae||Aardwolves||Protelidae
Aba-Garment,Abayah||Abbaya||Djelaba
Abacavir,Ziagen||C14H18N6O||Abamune||Abavir||ATC code J05AF06||ATCvet code QJ05AF06||Abacavir sulfate
AbaCloth,hodden grey||wadmel
Abandoned-ConstructionArtifact,canceled||planned||but abandoned
AbandonwareProgram,Unmaintained software||Abandon ware||Antique software||Old warez||Vintage software||Discontinued software||Unmaintained computer software||Old Games Finder
Abatis,Abattis||Abbattis
Abbey,AbbeY||Abbeys||Archabbey||Abbatial||Abbaye
AbdominalAorta,"Pars abdominalis aortae||Abdominal aortic artery||Aorta, abdominal||Aorta abdominalis||Abdominal aortic"
AbdominalCavity,Cavum abdominis||Cavitas abdominis
AbducensNerve,abducent nerve||nervus abducens
AbductiveInferenceProcess,Abduction (logic)||Abductive Reasoning||Inference to the Best Explanation||Inference to best explanation||Logical abduction||Abductive reason||Retroduction||Abductive logic||Inference to the best explanation||Apagoge||Abductive inference||Abductive thinking||Abductive||Abductive validation||Inference to the best explantion||Retroductive reasoning||Explanatory conclusion||Hypothesis formation||Adductive reasoning
AbductorPollicisBrevis,Musculus abductor pollicis brevis||Abductor pollicis brevis||APBM
AbductorPollicisLongus,Abductor pollicis longus||Musculus abductor pollicis longus||Abductor Pollicis Longus||APLM
AbelsonMurineLeukemiaVirus,Abelson's virus||Abelson leukemia virus||Ab-MLV||Abelson murine leukaemia virus
Abhorrence,Jussi Ahlroth||Abhorrence (band finland)||Abhorrence (Finnish band)
AbkhazLanguage,Abzu dialect||Abzui||Abhasian||Abkhaz Language||ISO 639:ab||Abžu dialect||Abžui||ISO 639:abk||Аҧсуа||Abzhuy||Abxazo language||Languages of Abkhazia||Abxaz language||Apswa language||Abkhazian language||Sadz dialect
Ablation,Ablative material||Thermal ablation||Rotoablation||Ablate||Ablative cooling||Ablated
AboBat,Glauconycteris poensis
Abolitionism,Anti-slavery movement||Abolition Of Slavery||Emancipationist||Abolitionism (slavery)||Abolition of Slavery||Anti-abolitionism||Abolitionist (slavery)||Abolitionistic||Movement to abolish slavery||Critic of the slave trade||Abolitionism.||Abolitionism in France||Opponent of slavery||Abolishing slavery||Antislavery||Slave emancipation||Anti-slavery||Opposition to slavery||Slavery abolition||Abolition of the slave trade||Abolutionism||Abolition of slavery||Abolitionist||Abolitionists||Abolitionist Movement||Abolitionst||Antislavery movement||White Abolitionists||White abolitionists||Emancipation Of Slaves||Emancipation of slaves||Emancipation of Slaves||Anti slavery movement||Abolition (slavery)||Abolitionist movement
AbominableSnowman,Abominable snowman||The Yeti||Banjankri||Bhanjankri||Abominable Snowman||Kang admi||Abominable Snowmen||Meh-Teh||Meh-teh||Migoi||Nyalmo||Snow Yetis||Dinanthropoides||Dinanthropoides nivalis||Yetti||Yeti monster||Yeti scalp||Ieti||Abominal Snowman||Saumen Kar||The abominable snowman||Abominable snow monster||Yetis||Bandya
Abortifacient,Abortifacients||Contraceptive Agents||Postconception||abortifacient agents
Abortion-Intentional,"Abortion in animals||Pine needle abortion||Physical Effects of Abortion||Surgical Termination of Pregnancy||Pregnancy abortion||Abortion and health||Abortus provocatus||Abortion, induced||Abortionists||Abortion, Physical Effects of||Medical termination of pregnancy||Induced miscarriage||Abortion.||Termination of pregnancy||Aborted fetuses||Aborted Fetus||Abortus||Elective abortion||Elective termination of a pregnancy||Termination of a pregnancy||Abortions||Induced abortion||Abortionist||Surgical abortion||Pregnancy termination||Aborting||Third-trimester abortion||Total abortion rate||Abortion Complications||Abortion complications||Complications of Abortion||Induced abortions"
Abra-ProvincePhilippines,Abra province||Abra Province||Abra (Philippines)
Abrasive,Abrasives||Bonded abrasive||Abrasive wear
AbrinToxin,Aivoeiro||Arraccu-mitim||Carolina muida||crab's eyes||Deadly crab's eye||Indian bead||Indian licorice seed||Jequirite||Jequirity bean||Jumble bead||Juquiriti||Lucky bean||prayer bead||Precatory bean||Rosary pea||Ruti||Tentos da America||Tentos dos mundos||Weather plant
AbscisicAcid,Abscisic Acid||Abscissin||Abscissic Acid||Dormin||Abscisate||Absciscic acid||(+)-abscisate||Abscissic acid
AbsoluteMonarchy,Royal autocracy||Inheritable dictatorship||Absolutist monarchy||Absolute Monarchy||Absolute monarchism||Royal absolutism||Royal Absolutism||Absolutism (European history)||Absolute rule||Absolute monarch||Age of Absolutism||Age of absolutism||Absolute Ruler||Absolute Monarch||Absolute monarchies||European absolutism||Monarchical absolutism
AbsolutVodka,Absolute vodka||Absolut vodka||ABSOLUT VODKA||Absolut mandrin||Absolute Vodka||ABSOLUT||ABSOLUT CUT||Absolut||In An Absolut World
Absorbency,Moisture regain
AbsorptionEvent,Absorption (of electromagnetic radiation)||Absorption of electromagnetic radiation||Molecular absorption||Optical absorption||Light absorption||Absorption (light)||Absorption (optics)||Absorption of Light
ABSResin,Acrylonitrile Butadiene Styrene||Acrylonitrile-butadiene-styrene||Abs plastic||ABS RESIN||ABS resin||ABS plastic
Abstinence,Abstinences||Abstinance||Abstinence from drugs||Abstinince||Abstemious||Abstemiously||Abstemiousness||Abstinently||Abstinents||Abstinent
AbstractInformationStructure,ADT
AbstractProgrammingLanguage,Programming language design||Untyped language||General purpose programming language||ProgrammingLanguages||Programming languages||Programming Language||Computer Language||Dynamic semantics||Execution semantics||Static semantics||Proprietary programming language||Proprietary scripting language||Proglang||Computer-oriented language||Computer programming language||Programming Languages||Computer language||ProgrammingLanguage||Typed and untyped languages||Computer languages
AbstractStructure,Mathematical system||Mathematical systems
AbutilonEremitopetalum,Hidden-petaled Abutilon||Hiddenpetal Indian Mallow||Hiddenpetal Indian mallow||Hidden-Petaled Abutilon
AbutilonSandwicense,Greenflower Indian mallow||Greenflower Indian Mallow
AbyssalPlain,Abysssal Plain||Abyssal plains||Abyssal plane||Abysal plain
AbyssinianWoodpecker,Dendropicos abyssinicus
ACAcecaCar,AC Aceca-Bristol||Aceca||Aceca-Bristol
AcademicDepartment,Academic departments
AcademicGown,Academic Dress||Academic gown||Academic hoods||Graduation gown||Academic robe||Academic robes||Academicals||Cap and gown||Academic costume||Academic attire||Academic regalia||Academical attire||Academical regalia||Academical dress||Academic hood
AcademicProfessional,Faculty (teaching staff)||Professoriat||Academic staff||Faculty (University Division)||Teaching faculty||Teaching staff||Faculty member||Professoriate||Faculty (university division)
AcademicTerm,Semesters||Term 3||Semester||Academic Term||Academic calendar||School years||Term (education)||Half-term||Quarter (academic)||Trimester system||School years (United Kingdom)||Schoolyear||School Years||Semestre||Half term||School term||Repeat a year
AcademicTrimester,Trimester||Trimestre
AcademicYear,school year||academic term
AcademyAward,Oscars||The Oscars
AcademyAwardCategory,The Oscarr||Acadmey Award||Oscars||Oscar Sunday||AcademyAwards||Academy award||Academy Award||Acadamy Awards||OSCARS(r)||Academy Award Nominations||The Academy Awards||The Oscar||Academy Scientific and Engineering Award||OSCARS®||Academy Award nomination||93th Academy Awards||Oscar winning||Academy Award of Merit||91th Academy Awards||92th Academy Awards||Oscar award||The Oscars||Oscar nomination||Oscar nominations||Academy-Award||Oscar Award||Academy-award||Oscar Awards||Academy awards||Oscar winner||Acadamy Award||Oscar (award)||Oscers||Oscar statue||Oscar statuette
AcademyAwardForBestActor-Movie,Academy Award for Best Leading Actor||Best Actor in a Leading Role||Academy Award for Best Actor in a Leading Role||Academy award for best actor||Best Actor Academy Award||Best actor Oscar||Oscar for Best Actor||Best Actor Oscar||List of nominees for the Academy Award for Best Actor (by actor)||Best actor oscar||Academy Awards/Best Actor
AcademyAwardForBestActress-Movie,Academy Award for best actress||Academy award for best actress||List of nominees for the Academy Award for Best Actress (by actress)||Best Actress in a Leading Role||Oscar for Best Actress||Academy Awards/Best Actress
AcademyAwardForBestSupportingActor-Movie,"List of Best Supporting Actor nominees||List of Best Supporting Actor nominees (films)||Academy Award for Best Actor in a Supporting Role||Academy award for best supporting actor||List of Best Supporting Actor nominees (by actor)||List of Best Supporting Actor nominees (by movie title)||Best Supporting Actor Oscar||List of nominees for the Academy Award for Best Supporting Actor (by actor)||List of nominees for the Academy Award for Best Supporting Actor (by film title)||Oscar for Best Supporting Actor||Best Supporting Actor, Oscars||Academy Awards/Best Supporting Actor"
AcademyAwardsCeremony,Academy Awards||Oscars
AcadiaNationalPark,"Sieur de Monts National Monument||Thunder Hole||Acadia National Park Act of 1919||Lafayette National Park||Acadia National Park, Maine||Acadia NP"
Acalyptratae,Acalyptrate muscoid
Acanthite,Argyrose
AcanthobrahmaeaEuropaea,Brahmaea europaea||A. europaea||Brahmaea (Acanthobrahmaea) europaea||European Owl Moth||European owl moth
Acanthocalycium,Spinicalycium
Acanthomintha,Thorn-mint||Thornmint
AcanthominthaDuttonii,San Mateo thorn-mint||San Mateo thornmint||Dutton's acanthomintha||San Mateo Thorn-mint||San Mateo Thornmint
Acanthopteroctetidae,Acanthopteroctetoidea||Acanthopteroctetes||Acanthoctesia
Acarina,Acarina
Accelerating,The Law of Accelerating Returns
