id,type,subPropertyOf,domain,range
rc:astronaut_mission,owl:ObjectProperty,kko:conjoins,rc:Astronaut,owl:Thing
rc:astronomical_filter,owl:ObjectProperty,kko:conjoins,rc:AstronomicalObject||rc:LaboratoryScientificProduct,owl:Thing
rc:athlete,owl:ObjectProperty,kko:typings,rc:SportsTeam,owl:Thing
rc:attendee,owl:ObjectProperty,kko:typings,kko:EventTypes,owl:Thing
rc:attendees,owl:ObjectProperty,kko:typings,kko:EventTypes,owl:Thing
rc:attributed_to,owl:ObjectProperty,kko:conjoins,rc:ConceptualWork,owl:Thing
rc:audience,owl:ObjectProperty,kko:typings,rc:ConceptualWork,owl:Thing
rc:australian_classification,owl:ObjectProperty,kko:classifications,rc:VideoConceptualWork,owl:Thing
rc:author,owl:ObjectProperty,kko:elementals||kko:typings,rc:ConceptualWork,owl:Thing
rc:author_of_afterword,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:author_of_foreword,owl:ObjectProperty,kko:extrinsics,rc:PublishedConceptualWork,owl:Thing
rc:authority,owl:ObjectProperty,kko:typings,rc:GeopoliticalEntity,owl:Thing
rc:autologous_cell_line,owl:ObjectProperty,kko:descendants,rc:Cell,owl:Thing
rc:availability,owl:ObjectProperty,kko:extrinsics,rc:CommercialProposal,owl:Thing
rc:available_at_or_from,owl:ObjectProperty,kko:situants,rc:CommercialProposal,owl:Thing
rc:available_channel,owl:ObjectProperty,kko:extrinsics,kko:TertiarySectorServices,owl:Thing
rc:available_delivery_method,owl:ObjectProperty,kko:extrinsics,rc:CommercialProposal,owl:Thing
rc:avionics,owl:ObjectProperty,kko:partsOf,rc:TransportationDevice,owl:Thing
rc:award_received,owl:ObjectProperty,kko:conjoins,kko:Organizations,owl:Thing
rc:away_team,owl:ObjectProperty,kko:typings,rc:SportsEvent,owl:Thing
rc:b_side_deprecated,owl:ObjectProperty,kko:quantities,rc:MusicSingle,owl:Thing
rc:backup_or_reserve_team_or_crew,owl:ObjectProperty,kko:conjoins,rc:Spacecraft,owl:Thing
rc:base,owl:ObjectProperty,kko:elementals,rc:GeometricFigure,owl:Thing
rc:based_on,owl:ObjectProperty,kko:conjoins,rc:ConceptualWork,owl:Thing
rc:basic_form_of_government,owl:ObjectProperty,kko:qualities,rc:GeopoliticalEntity,owl:Thing
rc:basin_country,owl:ObjectProperty,kko:extrinsics,rc:BodyOfWater_Area,owl:Thing
rc:bbfc_rating,owl:ObjectProperty,kko:ratings,kko:AVInfo,owl:Thing
rc:bcc_recipient,owl:ObjectProperty,kko:extrinsics,rc:Message,owl:Thing
rc:bed,owl:ObjectProperty,kko:extrinsics,rc:Lodging,owl:Thing
rc:best_combative_classification,owl:ObjectProperty,kko:classifications,rc:CyclingSportsEvent,owl:Thing
rc:best_sprinter_classification,owl:ObjectProperty,kko:classifications,rc:CyclingSportsEvent,owl:Thing
rc:binding_of_software_library,owl:ObjectProperty,kko:conjoins,rc:SoftwareObject,owl:Thing
rc:biological_phase,owl:ObjectProperty,kko:eventuals,rc:BiologicalLifeCycle,owl:Thing
rc:biological_process,owl:ObjectProperty,kko:conjoins,rc:ChemicalSubstance,owl:Thing
rc:biological_variant_of,owl:ObjectProperty,kko:descendants,rc:PolymerMolecule,owl:Thing
rc:birth_place,owl:ObjectProperty,kko:situants,kko:Persons,owl:Thing
rc:birthday,owl:ObjectProperty,kko:eventuals,kko:Persons,owl:Thing
rc:blog_post,owl:ObjectProperty,kko:partsOf,rc:Weblog,owl:Thing
rc:blog_posts,owl:ObjectProperty,kko:partsOf,rc:Weblog,owl:Thing
rc:blood_type,owl:ObjectProperty,kko:qualities,kko:Animals,owl:Thing
rc:board_member,owl:ObjectProperty,kko:conjoins,kko:Organizations,owl:Thing
rc:boarding_policy,owl:ObjectProperty,kko:typings,rc:AirTrafficServiceRoute||rc:AirlineCompany,owl:Thing
rc:bodies_of_water_basin_category,owl:ObjectProperty,kko:conjoins,rc:BodyOfWater_Area,owl:Thing
rc:book_format,owl:ObjectProperty,kko:typings,rc:Book,owl:Thing
rc:booking_agent,owl:ObjectProperty,kko:conjoins,rc:Reservation,owl:Thing
rc:borrower,owl:ObjectProperty,kko:typings,rc:Lending,owl:Thing
rc:bowling_style,owl:ObjectProperty,kko:forms,rc:Cricketer,owl:Thing
rc:branch_of,owl:ObjectProperty,kko:conjoins,rc:Business,owl:Thing
rc:brand,owl:ObjectProperty,kko:extrinsics,kko:Products,owl:Thing
rc:broadcast_affiliate_of,owl:ObjectProperty,kko:conjoins,rc:Broadcasting,owl:Thing
rc:broadcast_by,owl:ObjectProperty,kko:actions,rc:MediaTransferEvent,owl:Thing
rc:broadcast_of_event,owl:ObjectProperty,kko:eventuals,rc:Broadcasting,owl:Thing
rc:broadcaster,owl:ObjectProperty,kko:typings,rc:Broadcasting,owl:Thing
rc:broker,owl:ObjectProperty,kko:typings,rc:Bill_PaymentRequest,owl:Thing
rc:business_division,owl:ObjectProperty,kko:typings,kko:Organizations,owl:Thing
rc:business_function,owl:ObjectProperty,kko:typings,rc:CommercialProposal,owl:Thing
rc:buyer,owl:ObjectProperty,kko:typings,rc:MonetaryExchangeOfUserRights,owl:Thing
rc:by_artist,owl:ObjectProperty,kko:conjoins,rc:RecordedSoundProduct,owl:Thing
rc:by_product,owl:ObjectProperty,kko:typings,rc:ProcessType,owl:Thing
rc:by_product_of,owl:ObjectProperty,kko:extrinsics,rc:ProcessType,owl:Thing
rc:calculated_from,owl:ObjectProperty,kko:ratings,owl:Thing,owl:Thing
rc:calories,owl:ObjectProperty,kko:quantities,rc:NutritionInformation,owl:Thing
rc:camera_setup,owl:ObjectProperty,kko:forms,rc:TVShow,owl:Thing
rc:candidacy_in_election,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:candidate,owl:ObjectProperty,kko:elementals||kko:typings,rc:Voting,owl:Thing
rc:canonization_status,owl:ObjectProperty,kko:classifications,rc:TemporalThing,owl:Thing
rc:capital,owl:ObjectProperty,kko:extrinsics,rc:GeopoliticalEntity,owl:Thing
rc:capital_of,owl:ObjectProperty,kko:conjoins,rc:AdministrativeDistrict,owl:Thing
rc:captain,owl:ObjectProperty,kko:elementals,rc:SportsTeam,owl:Thing
rc:cardinality_of_this_set,owl:ObjectProperty,kko:classifications,owl:Thing,owl:Thing
rc:carnegie_classification_of_institutions_of_higher_education,owl:ObjectProperty,kko:classifications,rc:AcademicOrganization,owl:Thing
rc:carrier,owl:ObjectProperty,kko:typings,rc:CommercialPassengerFlight||rc:PackageDelivery,owl:Thing
rc:carries,owl:ObjectProperty,kko:actions,rc:Bridge,owl:Thing
rc:carries_scientific_instrument,owl:ObjectProperty,kko:conjoins,rc:SpacePlatform_Unmanned,owl:Thing
rc:cast_member,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:catalog_schema,owl:ObjectProperty,kko:partsOf,rc:Dataset,owl:Thing
rc:category_combines_topics,owl:ObjectProperty,kko:conjoins,owl:Thing,owl:Thing
rc:category_contains,owl:ObjectProperty,kko:classifications,owl:Thing,owl:Thing
rc:category_for_alumni_of_educational_institution,owl:ObjectProperty,kko:classifications,rc:EducationalOrganization,owl:Thing
rc:category_for_employees_of_the_organization,owl:ObjectProperty,kko:classifications,kko:Organizations,owl:Thing
rc:category_for_films_shot_at_this_location,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:category_for_people_born_here,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:category_for_people_who_died_here,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:category_for_pictures_taken_with_camera,owl:ObjectProperty,kko:conjoins,rc:VisualInformationRecordingDevice,owl:Thing
rc:category_of_associated_people,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:category_of_people_buried_here,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:category_related_to_list,owl:ObjectProperty,kko:conjoins,rc:TextualPCW,owl:Thing
rc:category_s_main_topic,owl:ObjectProperty,kko:elementals,rc:TwoLanesOrWiderRoadway,owl:Thing
rc:cathedral,owl:ObjectProperty,kko:typings,rc:ReligiousBuilding,owl:Thing
rc:catholic_rite,owl:ObjectProperty,kko:conjoins,rc:CatholicOrganization,owl:Thing
rc:cause_of_death,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:cause_of_destruction,owl:ObjectProperty,kko:conjoins,owl:Thing,owl:Thing
rc:cc_recipient,owl:ObjectProperty,kko:extrinsics,rc:Message,owl:Thing
rc:cell_component,owl:ObjectProperty,kko:conjoins,rc:ChemicalSubstance,owl:Thing
rc:central_bank,owl:ObjectProperty,kko:conjoins,rc:Country,owl:Thing
rc:central_bank_issuer,owl:ObjectProperty,kko:conjoins,rc:Currency,owl:Thing
rc:cero_rating,owl:ObjectProperty,kko:ratings,rc:TVShow,owl:Thing
rc:chairperson,owl:ObjectProperty,kko:extrinsics,kko:Organizations,owl:Thing
rc:character,owl:ObjectProperty,kko:typings,rc:ConceptualWork,owl:Thing
rc:character_attribute,owl:ObjectProperty,kko:qualities,rc:ComputerGameProgram_Graphical||rc:VideoGameSeries,owl:Thing
rc:character_role,owl:ObjectProperty,kko:conjoins,rc:Actor,owl:Thing
rc:characters,owl:ObjectProperty,kko:elementals,rc:Story,owl:Thing
rc:charge,owl:ObjectProperty,kko:elementals,rc:ServiceEvent,owl:Thing
rc:charted_in,owl:ObjectProperty,kko:conjoins,rc:RecordedSoundProduct,owl:Thing
rc:chief_executive_officer,owl:ObjectProperty,kko:extrinsics,kko:Organizations,owl:Thing
rc:chief_operating_officer,owl:ObjectProperty,kko:conjoins,rc:LegalCorporation,owl:Thing
rc:child,owl:ObjectProperty,kko:descendants,kko:Persons,owl:Thing
rc:child_astronomical_body,owl:ObjectProperty,kko:typings,rc:AstronomicalObject,owl:Thing
rc:children,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:chivalric_order,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:choreographer,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:chromosome,owl:ObjectProperty,kko:typings,rc:OrganicMaterial,owl:Thing
rc:class_ind_rating,owl:ObjectProperty,kko:ratings,kko:AVInfo,owl:Thing
rc:classification_of_race,owl:ObjectProperty,kko:classifications,rc:CyclingSportsEvent,owl:Thing
rc:cleavage,owl:ObjectProperty,kko:qualities,kko:Chemistry,owl:Thing
rc:closed_on,owl:ObjectProperty,kko:eventuals,kko:Organizations,owl:Thing
rc:cnc_film_rating_france,owl:ObjectProperty,kko:ratings,rc:Movie,owl:Thing
rc:cnc_film_rating_romania,owl:ObjectProperty,kko:ratings,rc:Movie,owl:Thing
rc:co_driver,owl:ObjectProperty,kko:conjoins,rc:HomoGenus,owl:Thing
rc:coach,owl:ObjectProperty,kko:typings,rc:SportsTeam,owl:Thing
rc:coat_of_arms,owl:ObjectProperty,kko:typings,kko:Agents,owl:Thing
rc:code_of_nomenclature,owl:ObjectProperty,kko:typings,kko:Plants,owl:Thing
rc:codomain,owl:ObjectProperty,kko:descendants,rc:Structure,owl:Thing
rc:coextensive_with,owl:ObjectProperty,kko:conjoins,rc:GeographicalPlace_Area,owl:Thing
rc:colleagues,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:collection_schema,owl:ObjectProperty,kko:conjoins,rc:InformationUpdating,owl:Thing
rc:color,owl:ObjectProperty,kko:qualities,rc:ConceptualWork,owl:Thing
rc:combination_classification,owl:ObjectProperty,kko:classifications,rc:CyclingSportsEvent,owl:Thing
rc:commanded_by,owl:ObjectProperty,kko:conjoins,rc:MilitaryOfficer,owl:Thing
rc:commander_of,owl:ObjectProperty,kko:conjoins,rc:MilitaryOfficer,owl:Thing
rc:commemorates,owl:ObjectProperty,kko:actions,rc:FixedStructure,owl:Thing
rc:commissioned_by,owl:ObjectProperty,kko:conjoins,kko:Manifestations,owl:Thing
rc:companion_of,owl:ObjectProperty,kko:conjoins,rc:StarCluster,owl:Thing
rc:competition_class,owl:ObjectProperty,kko:elementals,rc:SportsOrganization,owl:Thing
rc:competitor,owl:ObjectProperty,kko:typings,rc:SportsEvent,owl:Thing
rc:composer,owl:ObjectProperty,kko:conjoins||kko:typings,rc:MusicalComposition,owl:Thing
rc:compressor_type,owl:ObjectProperty,kko:partsOf,rc:AircraftEngine,owl:Thing
rc:conferred_by,owl:ObjectProperty,kko:conjoins,rc:AwardAttribute,owl:Thing
rc:conflict,owl:ObjectProperty,kko:situants,rc:WaterTransportationVehicle,owl:Thing
rc:conjugate_acid,owl:ObjectProperty,kko:elementals,rc:Ion,owl:Thing
rc:conjugate_base,owl:ObjectProperty,kko:elementals,rc:Ion,owl:Thing
rc:connecting_line,owl:ObjectProperty,kko:conjoins,rc:FixedStructure,owl:Thing
rc:connecting_service,owl:ObjectProperty,kko:conjoins,rc:Terminal_TransferPoint,owl:Thing
rc:connector,owl:ObjectProperty,kko:extrinsics,rc:MobilePhone,owl:Thing
rc:connects_with,owl:ObjectProperty,kko:conjoins,rc:Roadway,owl:Thing
rc:consecrator,owl:ObjectProperty,kko:typings,rc:Bishop_Clerical,owl:Thing
rc:constellation,owl:ObjectProperty,kko:typings,rc:AstronomicalObject,owl:Thing
rc:contained_in,owl:ObjectProperty,kko:situants,kko:Places,owl:Thing
rc:contained_in_place,owl:ObjectProperty,kko:situants,kko:Places,owl:Thing
rc:contains,owl:ObjectProperty,kko:elementals,kko:Manifestations,owl:Thing
rc:contains_administrative_territorial_entity,owl:ObjectProperty,kko:partsOf,rc:GeopoliticalEntity,owl:Thing
rc:contains_place,owl:ObjectProperty,kko:situants,kko:Places,owl:Thing
rc:contains_season,owl:ObjectProperty,kko:eventuals,rc:MediaSeriesProduct,owl:Thing
rc:contains_settlement,owl:ObjectProperty,kko:conjoins,rc:AdministrativeDistrict,owl:Thing
rc:content_deliverer,owl:ObjectProperty,kko:conjoins,rc:TextualPCW,owl:Thing
rc:content_location,owl:ObjectProperty,kko:situants,rc:ConceptualWork,owl:Thing
rc:continent,owl:ObjectProperty,kko:typings,rc:GeopoliticalEntity,owl:Thing
rc:contributed_to_creative_work,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:contributing_factor_of,owl:ObjectProperty,kko:circumstances,rc:VideoConceptualWork,owl:Thing
rc:contributor,owl:ObjectProperty,kko:typings,rc:ConceptualWork,owl:Thing
rc:contributor_s_to_the_creative_work_or_subject,owl:ObjectProperty,kko:extrinsics,rc:PublishedConceptualWork,owl:Thing
rc:convicted_of,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:coolant,owl:ObjectProperty,kko:conjoins,rc:Engine,owl:Thing
rc:copyrightHolder,owl:ObjectProperty,kko:typings,rc:ConceptualWork,owl:Thing
rc:copyright_holder,owl:ObjectProperty,kko:conjoins||kko:typings,kko:Agents,owl:Thing
rc:corporate_officer,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:costume_designer,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:country,owl:ObjectProperty,kko:extrinsics,owl:Thing,owl:Thing
rc:countryOfOrigin,owl:ObjectProperty,kko:extrinsics,rc:VideoConceptualWork,owl:Thing
rc:country_for_sport,owl:ObjectProperty,kko:conjoins,rc:Team,owl:Thing
rc:country_of_citizenship,owl:ObjectProperty,kko:extrinsics,kko:Persons,owl:Thing
rc:country_of_origin,owl:ObjectProperty,kko:extrinsics||kko:situants,rc:PropositionalConceptualWork,owl:Thing
rc:course,owl:ObjectProperty,kko:situants,rc:PhysicalExercise,owl:Thing
rc:court,owl:ObjectProperty,kko:conjoins,rc:CourtCase,owl:Thing
rc:cover_art_by,owl:ObjectProperty,kko:conjoins,rc:AudioConceptualWork,owl:Thing
rc:cpu,owl:ObjectProperty,kko:qualities,rc:ConsumerElectronicDevice,owl:Thing
rc:creator,owl:ObjectProperty,kko:conjoins||kko:typings,rc:ConceptualWork,owl:Thing
rc:credited_to,owl:ObjectProperty,kko:conjoins,rc:RecordedSoundProduct,owl:Thing
rc:crew_member,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:criterion_used,owl:ObjectProperty,kko:performances,rc:Counting,owl:Thing
rc:crosses,owl:ObjectProperty,kko:actions,rc:Bridge,owl:Thing
rc:crystal_system,owl:ObjectProperty,kko:conjoins,rc:ChemicalSubstance,owl:Thing
rc:cuisine,owl:ObjectProperty,kko:typings,rc:Restaurant,owl:Thing
rc:culture,owl:ObjectProperty,kko:situants,rc:PopulatedPlace,owl:Thing
rc:curator,owl:ObjectProperty,kko:elementals,rc:VisualInformationBearingThing,owl:Thing
rc:currency,owl:ObjectProperty,kko:quantities,rc:GeopoliticalEntity,owl:Thing
rc:customer,owl:ObjectProperty,kko:typings,rc:Bill_PaymentRequest,owl:Thing
rc:dam,owl:ObjectProperty,kko:conjoins,rc:BodyOfWater_Flowing,owl:Thing
rc:damaged,owl:ObjectProperty,kko:actions,kko:EventTypes,owl:Thing
rc:dan_kyu_rank,owl:ObjectProperty,kko:ratings,rc:HomoGenus,owl:Thing
rc:data_feed_element,owl:ObjectProperty,kko:partsOf,rc:DataStream,owl:Thing
rc:dataset,owl:ObjectProperty,kko:typings,rc:Catalog,owl:Thing
rc:dayOfWeek,owl:ObjectProperty,kko:eventuals,rc:PublicPlace,owl:Thing
rc:day_in_year_for_periodic_occurrence,owl:ObjectProperty,kko:eventuals,rc:Holiday,owl:Thing
rc:day_of_week,owl:ObjectProperty,kko:eventuals,kko:EventTypes,owl:Thing
rc:death_place,owl:ObjectProperty,kko:situants,kko:Persons,owl:Thing
rc:debut_participant,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:decays_to,owl:ObjectProperty,kko:actions,rc:Isotope,owl:Thing
rc:dedicated_to,owl:ObjectProperty,kko:conjoins,kko:Manifestations,owl:Thing
rc:defendant,owl:ObjectProperty,kko:elementals,rc:LegalConflict,owl:Thing
rc:defender,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:delivery_method,owl:ObjectProperty,kko:extrinsics,kko:Drugs||kko:Products,owl:Thing
rc:delivery_status,owl:ObjectProperty,kko:extrinsics,rc:PackageDelivery,owl:Thing
rc:department,owl:ObjectProperty,kko:conjoins,kko:Organizations,owl:Thing
rc:departure_airport,owl:ObjectProperty,kko:situants,rc:CommercialPassengerFlight,owl:Thing
rc:departure_bus_stop,owl:ObjectProperty,kko:situants,rc:BusTrip,owl:Thing
rc:departure_station,owl:ObjectProperty,kko:situants,rc:TrainTravel,owl:Thing
rc:depends_on_software,owl:ObjectProperty,kko:conjoins,rc:UserProgram,owl:Thing
rc:depicted_by,owl:ObjectProperty,kko:conjoins,kko:Manifestations,owl:Thing
rc:depicts,owl:ObjectProperty,kko:actions,kko:Manifestations,owl:Thing
rc:depositor,owl:ObjectProperty,kko:conjoins,rc:AuthorizedAgreement,owl:Thing
rc:deprecated_in_version,owl:ObjectProperty,kko:forms,rc:SoftwareObject,owl:Thing
rc:derivative_work,owl:ObjectProperty,kko:descendants,rc:ArtObject,owl:Thing
rc:describes_a_project_that_uses,owl:ObjectProperty,kko:extrinsics,owl:Thing,owl:Thing
rc:designated_as_terrorist_by,owl:ObjectProperty,kko:classifications,rc:TerroristAgent,owl:Thing
rc:designed_by,owl:ObjectProperty,kko:conjoins,kko:Manifestations,owl:Thing
rc:designed_to_carry,owl:ObjectProperty,kko:conjoins,kko:Artifacts,owl:Thing
rc:destination_point,owl:ObjectProperty,kko:situants,rc:TransporterCrashEvent,owl:Thing
rc:destroyed,owl:ObjectProperty,kko:actions,kko:EventTypes,owl:Thing
rc:determination_method,owl:ObjectProperty,kko:circumstances,owl:Thing,owl:Thing
rc:developer,owl:ObjectProperty,kko:conjoins,rc:ComputerProgram,owl:Thing
rc:development_of_anatomical_structure,owl:ObjectProperty,kko:eventuals,rc:OrganismPart,owl:Thing
rc:develops_from,owl:ObjectProperty,kko:qualities,owl:Thing,owl:Thing
rc:dialect_of,owl:ObjectProperty,kko:forms,rc:HumanLanguage,owl:Thing
rc:diaspora,owl:ObjectProperty,kko:extrinsics,rc:EthnicGroup,owl:Thing
rc:different_from,owl:ObjectProperty,kko:conjoins,owl:Thing,owl:Thing
rc:digital_rights_management_system,owl:ObjectProperty,kko:elementals,rc:UserProgram,owl:Thing
rc:diocese,owl:ObjectProperty,kko:typings,rc:ChristianOrganization,owl:Thing
rc:diplomatic_mission_sent,owl:ObjectProperty,kko:conjoins,rc:Country,owl:Thing
rc:diplomatic_relation,owl:ObjectProperty,kko:conjoins,rc:Country,owl:Thing
rc:direction,owl:ObjectProperty,kko:circumstances,owl:Thing,owl:Thing
rc:direction_relative_to_location,owl:ObjectProperty,kko:circumstances,kko:AreaRegion||kko:LocationPlace,owl:Thing
rc:director,owl:ObjectProperty,kko:conjoins||kko:typings,rc:RecordingOfWaveIBT,owl:Thing
rc:director_manager,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:director_of_photography,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:directors,owl:ObjectProperty,kko:typings,rc:RecordingOfWaveIBT,owl:Thing
rc:discography,owl:ObjectProperty,kko:typings,rc:MusicPerformanceOrganization,owl:Thing
rc:discoverer_or_inventor,owl:ObjectProperty,kko:conjoins,rc:AstronomicalObject,owl:Thing
rc:discovery_method,owl:ObjectProperty,kko:conjoins,rc:AstronomicalObject,owl:Thing
rc:disjoint_union_of,owl:ObjectProperty,kko:actions,owl:Thing,owl:Thing
rc:dissertation_submitted_to,owl:ObjectProperty,kko:actions,rc:Thesis,owl:Thing
rc:distance,owl:ObjectProperty,kko:quantities,rc:Movement_TranslationEvent||rc:PhysicalExercise,owl:Thing
rc:distinctive_jersey,owl:ObjectProperty,kko:conjoins,rc:CyclingSportsEvent,owl:Thing
rc:distribution,owl:ObjectProperty,kko:extrinsics,rc:Dataset,owl:Thing
rc:distribution_format,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:distributor,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:docking_port,owl:ObjectProperty,kko:forms,rc:Spacecraft,owl:Thing
rc:doctoral_advisor,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:doctoral_student,owl:ObjectProperty,kko:typings,rc:Student,owl:Thing
rc:doctoral_thesis,owl:ObjectProperty,kko:conjoins,rc:HomoGenus,owl:Thing
rc:does_not_have_part,owl:ObjectProperty,kko:partsOf,owl:Thing,owl:Thing
rc:domain,owl:ObjectProperty,kko:descendants,rc:Structure,owl:Thing
rc:domain_of_saint_or_deity,owl:ObjectProperty,kko:circumstances,rc:ReligiousFigure,owl:Thing
rc:donated_by,owl:ObjectProperty,kko:conjoins,rc:Graphic_VisualIBT,owl:Thing
rc:drafted_by,owl:ObjectProperty,kko:conjoins,rc:BasketballPlayer,owl:Thing
rc:drainage_basin,owl:ObjectProperty,kko:situants,rc:BodyOfWater_Flowing,owl:Thing
rc:driving_side,owl:ObjectProperty,kko:qualities,rc:GeopoliticalEntity,owl:Thing
rc:dropoff_location,owl:ObjectProperty,kko:situants,rc:Reservation,owl:Thing
rc:drug_used_for_treatment,owl:ObjectProperty,kko:typings,rc:ChemicalSubstance,owl:Thing
rc:dual_to,owl:ObjectProperty,kko:comparisons,rc:GeometricFigure,owl:Thing
rc:edibility,owl:ObjectProperty,kko:qualities,rc:Mushroom_Broadly,owl:Thing
rc:editor,owl:ObjectProperty,kko:elementals||kko:typings,rc:ConceptualWork,owl:Thing
rc:educated_at,owl:ObjectProperty,kko:conjoins,kko:Organizations,owl:Thing
rc:educational_alignment,owl:ObjectProperty,kko:conjoins,rc:ConceptualWork,owl:Thing
rc:eight_banner_register,owl:ObjectProperty,kko:conjoins,rc:HomoGenus,owl:Thing
rc:eirin_film_rating,owl:ObjectProperty,kko:ratings,rc:Movie,owl:Thing
rc:elected_in,owl:ObjectProperty,kko:conjoins,kko:Persons,owl:Thing
rc:elector,owl:ObjectProperty,kko:typings,kko:Persons,owl:Thing
rc:electoral_district,owl:ObjectProperty,kko:typings,rc:District_State_Geopolitical,owl:Thing
rc:electrical_plug_type,owl:ObjectProperty,kko:elementals,rc:Country,owl:Thing
rc:eligible_customer_type,owl:ObjectProperty,kko:typings,rc:CommercialProposal,owl:Thing
rc:eligible_region,owl:ObjectProperty,kko:situants,kko:ActionTypes,owl:Thing
rc:employee,owl:ObjectProperty,kko:typings,kko:Organizations,owl:Thing
rc:employees_schema,owl:ObjectProperty,kko:typings,kko:Organizations,owl:Thing
rc:employer,owl:ObjectProperty,kko:typings,kko:Organizations,owl:Thing
rc:emulates,owl:ObjectProperty,kko:performances,rc:ComputerProgram,owl:Thing
rc:enclave_within,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:enclosure,owl:ObjectProperty,kko:extrinsics,rc:ObjectTypes,owl:Thing
rc:encoded_by,owl:ObjectProperty,kko:conjoins,rc:Gene_HereditaryUnit,owl:Thing
rc:encodes,owl:ObjectProperty,kko:actions,rc:Gene_HereditaryUnit,owl:Thing
rc:encodes_creative_work,owl:ObjectProperty,kko:partsOf,rc:MediaObject,owl:Thing
rc:end_cause,owl:ObjectProperty,kko:eventuals,rc:Event,owl:Thing
rc:endemic_to,owl:ObjectProperty,kko:conjoins,rc:BiologicalLivingObject,owl:Thing
rc:endianness,owl:ObjectProperty,kko:qualities,rc:SoftwareObject,owl:Thing
rc:endorsee,owl:ObjectProperty,kko:typings,rc:Endorsing_CommunicationAct,owl:Thing
rc:engine_configuration,owl:ObjectProperty,kko:forms,rc:Engine,owl:Thing
rc:entertainment_business,owl:ObjectProperty,kko:typings,rc:EntertainmentOrRecreationOrganization,owl:Thing
rc:episode,owl:ObjectProperty,kko:partsOf,rc:CalendarSeasonType,owl:Thing
rc:episodes,owl:ObjectProperty,kko:partsOf,rc:CalendarSeasonType,owl:Thing
rc:esrb_rating,owl:ObjectProperty,kko:ratings,rc:VideoConceptualWork,owl:Thing
rc:ethnic_group,owl:ObjectProperty,kko:qualities,rc:PersonTypeByEthnicity,owl:Thing
rc:ethnologue_language_status,owl:ObjectProperty,kko:ratings,rc:NaturalLanguage,owl:Thing
rc:event,owl:ObjectProperty,kko:eventuals,owl:Thing,owl:Thing
rc:event_status,owl:ObjectProperty,kko:classifications,kko:EventTypes,owl:Thing
rc:events,owl:ObjectProperty,kko:eventuals,kko:Agents,owl:Thing
rc:excavation_director,owl:ObjectProperty,kko:conjoins,rc:ArchaeologicalSite,owl:Thing
rc:exception_to_constraint,owl:ObjectProperty,kko:actions,owl:Thing,owl:Thing
rc:exclave_of,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:excluding,owl:ObjectProperty,kko:equivalences,owl:Thing,owl:Thing
rc:executive_body,owl:ObjectProperty,kko:conjoins,rc:GeopoliticalEntity,owl:Thing
rc:executive_producer,owl:ObjectProperty,kko:extrinsics,rc:ConceptualWork,owl:Thing
rc:exemplar_of,owl:ObjectProperty,kko:comparisons,rc:ConceptualWork,owl:Thing
rc:exercise_course,owl:ObjectProperty,kko:situants,rc:PhysicalExercise,owl:Thing
rc:exhibition_history,owl:ObjectProperty,kko:conjoins,rc:Graphic_VisualIBT,owl:Thing
rc:expects_acceptance_of,owl:ObjectProperty,kko:extrinsics,kko:ActionTypes,owl:Thing
rc:eye_color,owl:ObjectProperty,kko:qualities,kko:Persons,owl:Thing
rc:fabrication_method,owl:ObjectProperty,kko:elementals,rc:Graphic_VisualIBT,owl:Thing
