id,type,subPropertyOf,domain,range
rc:article_section,owl:DatatypeProperty,kko:situantsData,rc:Article_PCW,xsd:string
rc:artwork_surface,owl:DatatypeProperty,kko:formsData,rc:VisualArtifact,xsd:string
rc:assembly,owl:DatatypeProperty,kko:typingsData,rc:ApplicationProgrammingInterface,xsd:string
rc:atomic_number,owl:DatatypeProperty,kko:qualitiesData,rc:SubAtomicParticle,xsd:decimal
rc:attendance,owl:DatatypeProperty,kko:quantitiesData,rc:SportsEvent,xsd:decimal
rc:audience_type,owl:DatatypeProperty,kko:typingsData,rc:Audience,xsd:string
rc:autoignition_temperature,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:availability_ends,owl:DatatypeProperty,kko:eventualsData,kko:ActionTypes,
rc:availability_starts,owl:DatatypeProperty,kko:eventualsData,kko:ActionTypes,
rc:available_from,owl:DatatypeProperty,kko:eventualsData,rc:DeliveryServiceEvent,
rc:available_language,owl:DatatypeProperty,kko:conjoinsData,rc:LocationAttributes,xsd:string
rc:available_on_device,owl:DatatypeProperty,kko:extrinsicsData,rc:SoftwareObject_Individual,xsd:string
rc:available_through,owl:DatatypeProperty,kko:eventualsData,rc:DeliveryServiceEvent,
rc:average_space_complexity,owl:DatatypeProperty,kko:ratingsData,rc:Algorithm,xsd:decimal
rc:average_time_complexity,owl:DatatypeProperty,kko:ratingsData,rc:Algorithm,xsd:decimal
rc:award,owl:DatatypeProperty,kko:typingsData,rc:ConceptualWork,xsd:string
rc:awards,owl:DatatypeProperty,kko:typingsData,rc:ConceptualWork,xsd:string
rc:ballots_cast,owl:DatatypeProperty,kko:quantitiesData,rc:ElectionForOffice,xsd:decimal
rc:baseSalary,owl:DatatypeProperty,kko:quantitiesData,rc:JobListing,xsd:string
rc:base_salary,owl:DatatypeProperty,kko:quantitiesData,rc:PersonWithOccupation,xsd:decimal
rc:beam,owl:DatatypeProperty,kko:qualitiesData,rc:WaterTransportationVehicle,xsd:decimal
rc:beats_per_minute,owl:DatatypeProperty,kko:ratingsData,rc:VideoConceptualWork,xsd:decimal
